dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6573424935340881,337.0436511039734
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6040617823600769,471.14829659461975
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.649663507938385,379.4267408847809
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6262925267219543,463.43806076049805
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6905662417411804,368.5687460899353
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6331003904342651,491.8691737651825
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6548759341239929,353.03786730766296
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6083586812019348,496.66810488700867
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6744917631149292,359.0722749233246
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.5982550978660583,471.19473361968994
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6885837912559509,346.3841633796692
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6409043073654175,490.88094568252563
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.7268556356430054,339.05489778518677
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.5861681699752808,653.158441066742
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6659711003303528,467.7496757507324
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6102221608161926,639.9393389225006
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.7005351781845093,458.29288053512573
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6486680507659912,795.1694254875183
wikimath,STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6137498021125793,462.5094757080078
wikimath,IT-STGCN,GConvLSTM,0.3,rand,8,12,linear,50,0.6602076292037964,627.2512757778168
