dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,lr,mse,calculation_time
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,13.451272010803223,129.26306438446045
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.2296587228775024,95.90505123138428
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,1.5691157579421997,152.34741067886353
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,0.9721924066543579,86.25352454185486
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,1.3762284517288208,130.6223452091217
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.2002463340759277,76.10217952728271
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,0.8498592376708984,153.00071454048157
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.04108726978302,89.61129975318909
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,9.399945259094238,128.73502039909363
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0152158737182617,87.8874180316925
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,0.869046688079834,154.65844464302063
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.066074013710022,82.76958012580872
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,2.9255118370056152,119.23745560646057
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0985918045043945,71.95977258682251
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,5.827853679656982,131.50571513175964
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.1839427947998047,81.78236150741577
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,0.9384541511535645,117.37333250045776
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0840480327606201,70.99377846717834
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,1.8792544603347778,143.37377738952637
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.5587055683135986,82.16125011444092
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,1.478191614151001,118.31657814979553
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0784684419631958,74.74779415130615
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,1.412148356437683,142.93577241897583
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0532492399215698,97.56290221214294
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,7.131699562072754,124.33944320678711
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.2057373523712158,78.85792016983032
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,7.072452068328857,142.18305897712708
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,0.9308753609657288,85.34140372276306
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,1.117281198501587,130.67606830596924
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.2244043350219727,72.02038836479187
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,3.355409622192383,140.8766233921051
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0742604732513428,82.48072075843811
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,1.0272101163864136,118.65115141868591
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0676918029785156,77.90340423583984
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,1.399477481842041,143.20539021492004
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.076475739479065,81.96564888954163
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,43.28883743286133,114.18532371520996
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0286473035812378,72.42464089393616
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.01,13.226523399353027,145.08675122261047
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,0.01,1.0134292840957642,87.97585415840149
