dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.6,rand,8,12,linear,50,0.7427880167961121,1574.7027530670166
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.7657377123832703,1734.0154180526733
wikimath,STGCN,0.6,rand,8,12,linear,50,0.7733579277992249,1203.8382482528687
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.722381591796875,1667.6202058792114
wikimath,STGCN,0.6,rand,8,12,linear,50,0.8004747629165649,1492.8415699005127
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.7284544110298157,1955.7321684360504
wikimath,STGCN,0.6,rand,8,12,linear,50,0.7720907330513,1195.3400094509125
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.8366457223892212,1366.6134672164917
wikimath,STGCN,0.6,rand,8,12,linear,50,0.7997691631317139,1377.0928702354431
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.7203075289726257,2036.8223567008972
