dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
five_nodes,GNAR,0.15,block,2,,nearest,,1.4068299531936646,0.019619464874267578
five_nodes,GNAR,0.15,block,2,,linear,,1.4068299531936646,0.006484270095825195
five_nodes,GNAR,0.15,block,4,,nearest,,1.4690043926239014,0.007999181747436523
five_nodes,GNAR,0.15,block,4,,linear,,1.4690043926239014,0.008072614669799805
five_nodes,GNAR,0.14906832298136646,block,6,,nearest,,1.491934895515442,0.00976872444152832
five_nodes,GNAR,0.14906832298136646,block,6,,linear,,1.491934895515442,0.009535551071166992
five_nodes,GNAR,0.14906832298136646,block,8,,nearest,,1.6340110301971436,0.011241674423217773
five_nodes,GNAR,0.14906832298136646,block,8,,linear,,1.6340110301971436,0.013593196868896484
five_nodes,GNAR,0.15,block,2,,nearest,,1.4068299531936646,0.006262063980102539
five_nodes,GNAR,0.15,block,2,,linear,,1.4068299531936646,0.009037256240844727
five_nodes,GNAR,0.15,block,4,,nearest,,1.4690043926239014,0.008059024810791016
five_nodes,GNAR,0.15,block,4,,linear,,1.4690043926239014,0.008888959884643555
five_nodes,GNAR,0.14906832298136646,block,6,,nearest,,1.491934895515442,0.009880542755126953
five_nodes,GNAR,0.14906832298136646,block,6,,linear,,1.491934895515442,0.012497186660766602
five_nodes,GNAR,0.14906832298136646,block,8,,nearest,,1.6340110301971436,0.04533529281616211
five_nodes,GNAR,0.14906832298136646,block,8,,linear,,1.6340110301971436,0.011242389678955078
five_nodes,GNAR,0.15,block,2,,nearest,,1.4068299531936646,0.006468772888183594
five_nodes,GNAR,0.15,block,2,,linear,,1.4068299531936646,0.006783962249755859
five_nodes,GNAR,0.15,block,4,,nearest,,1.4690043926239014,0.008078575134277344
five_nodes,GNAR,0.15,block,4,,linear,,1.4690043926239014,0.007976293563842773
five_nodes,GNAR,0.14906832298136646,block,6,,nearest,,1.491934895515442,0.009516477584838867
five_nodes,GNAR,0.14906832298136646,block,6,,linear,,1.491934895515442,0.009446859359741211
five_nodes,GNAR,0.14906832298136646,block,8,,nearest,,1.6340110301971436,0.011002302169799805
five_nodes,GNAR,0.14906832298136646,block,8,,linear,,1.6340110301971436,0.010807037353515625
