dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
five_nodes,GNAR,0.0,,2,,,,1.4068299531936646,0.008919000625610352
five_nodes,GNAR,0.0,,2,,,,1.4068299531936646,0.006264448165893555
five_nodes,GNAR,0.0,,4,,,,1.4690043926239014,0.005750179290771484
five_nodes,GNAR,0.0,,4,,,,1.4690043926239014,0.00577092170715332
five_nodes,GNAR,0.0,,6,,,,1.491934895515442,0.013177871704101562
five_nodes,GNAR,0.0,,6,,,,1.491934895515442,0.010015726089477539
five_nodes,GNAR,0.2,rand,2,,nearest,,1.4068299531936646,0.005270719528198242
five_nodes,GNAR,0.2,rand,2,,linear,,1.4068299531936646,0.009823322296142578
five_nodes,GNAR,0.2,rand,4,,nearest,,1.4690043926239014,0.008290767669677734
five_nodes,GNAR,0.2,rand,4,,linear,,1.4690043926239014,0.007745027542114258
five_nodes,GNAR,0.2,rand,6,,nearest,,1.491934895515442,0.006760835647583008
five_nodes,GNAR,0.2,rand,6,,linear,,1.491934895515442,0.006552696228027344
five_nodes,GNAR,0.4,rand,2,,nearest,,1.4068299531936646,0.004748821258544922
five_nodes,GNAR,0.4,rand,2,,linear,,1.4068299531936646,0.004781007766723633
five_nodes,GNAR,0.4,rand,4,,nearest,,1.4690043926239014,0.005460500717163086
five_nodes,GNAR,0.4,rand,4,,linear,,1.4690043926239014,0.005667686462402344
five_nodes,GNAR,0.4,rand,6,,nearest,,1.491934895515442,0.007503032684326172
five_nodes,GNAR,0.4,rand,6,,linear,,1.491934895515442,0.0065953731536865234
five_nodes,GNAR,0.6,rand,2,,nearest,,1.4068299531936646,0.0053882598876953125
five_nodes,GNAR,0.6,rand,2,,linear,,1.4068299531936646,0.005086421966552734
five_nodes,GNAR,0.6,rand,4,,nearest,,1.4690043926239014,0.017133474349975586
five_nodes,GNAR,0.6,rand,4,,linear,,1.4690043926239014,0.005896806716918945
five_nodes,GNAR,0.6,rand,6,,nearest,,1.491934895515442,0.006735563278198242
five_nodes,GNAR,0.6,rand,6,,linear,,1.491934895515442,0.008971452713012695
five_nodes,GNAR,0.8,rand,2,,nearest,,1.4068299531936646,0.004782915115356445
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.004795074462890625
five_nodes,GNAR,0.8,rand,4,,nearest,,1.4690043926239014,0.00597071647644043
five_nodes,GNAR,0.8,rand,4,,linear,,1.4690043926239014,0.005663633346557617
five_nodes,GNAR,0.8,rand,6,,nearest,,1.491934895515442,0.006913423538208008
five_nodes,GNAR,0.8,rand,6,,linear,,1.491934895515442,0.009319782257080078
five_nodes,GNAR,0.0,,2,,,,1.4068299531936646,0.0047914981842041016
five_nodes,GNAR,0.0,,2,,,,1.4068299531936646,0.0049686431884765625
five_nodes,GNAR,0.0,,4,,,,1.4690043926239014,0.005818843841552734
five_nodes,GNAR,0.0,,4,,,,1.4690043926239014,0.00555872917175293
five_nodes,GNAR,0.0,,6,,,,1.491934895515442,0.006790876388549805
five_nodes,GNAR,0.0,,6,,,,1.491934895515442,0.012150287628173828
five_nodes,GNAR,0.2,rand,2,,nearest,,1.4068299531936646,0.008314132690429688
five_nodes,GNAR,0.2,rand,2,,linear,,1.4068299531936646,0.008528470993041992
five_nodes,GNAR,0.2,rand,4,,nearest,,1.4690043926239014,0.010477066040039062
five_nodes,GNAR,0.2,rand,4,,linear,,1.4690043926239014,0.009837865829467773
five_nodes,GNAR,0.2,rand,6,,nearest,,1.491934895515442,0.01229715347290039
