dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
five_nodes,STGCN,0.125,block,2,4,nearest,150,1.1671322584152222,112.56040859222412
five_nodes,STGCN,0.125,block,2,4,linear,150,1.2085040807724,115.90665006637573
five_nodes,STGCN,0.125,block,2,8,nearest,150,1.163790225982666,115.86432099342346
five_nodes,STGCN,0.125,block,2,8,linear,150,1.1631920337677002,117.33220720291138
five_nodes,STGCN,0.125,block,2,12,nearest,150,1.178064227104187,117.88312268257141
five_nodes,STGCN,0.125,block,2,12,linear,150,1.1947566270828247,116.9751091003418
five_nodes,STGCN,0.125,block,4,4,nearest,150,1.177361011505127,112.37296557426453
five_nodes,STGCN,0.125,block,4,4,linear,150,1.2774913311004639,112.316575050354
five_nodes,STGCN,0.125,block,4,8,nearest,150,1.2470260858535767,111.76647090911865
five_nodes,STGCN,0.125,block,4,8,linear,150,1.2749830484390259,112.85799527168274
five_nodes,STGCN,0.125,block,4,12,nearest,150,1.2614761590957642,115.88668918609619
five_nodes,STGCN,0.125,block,4,12,linear,150,1.226334810256958,117.94187569618225
five_nodes,STGCN,0.12422360248447205,block,6,4,nearest,150,1.2125883102416992,108.55728816986084
five_nodes,STGCN,0.12422360248447205,block,6,4,linear,150,1.2682181596755981,111.74242043495178
five_nodes,STGCN,0.12422360248447205,block,6,8,nearest,150,1.2006759643554688,114.56683588027954
five_nodes,STGCN,0.12422360248447205,block,6,8,linear,150,1.2904694080352783,115.24222731590271
five_nodes,STGCN,0.12422360248447205,block,6,12,nearest,150,1.3826568126678467,117.02195143699646
five_nodes,STGCN,0.12422360248447205,block,6,12,linear,150,1.312454104423523,114.69600033760071
five_nodes,IT-STGCN,0.125,block,2,4,nearest,150,1.1512852907180786,119.06634902954102
five_nodes,IT-STGCN,0.125,block,2,4,linear,150,1.1427654027938843,121.98608779907227
five_nodes,IT-STGCN,0.125,block,2,8,nearest,150,1.1257383823394775,118.36890077590942
five_nodes,IT-STGCN,0.125,block,2,8,linear,150,1.1315633058547974,119.7058892250061
five_nodes,IT-STGCN,0.125,block,2,12,nearest,150,1.084989309310913,121.00072526931763
five_nodes,IT-STGCN,0.125,block,2,12,linear,150,1.1443120241165161,120.13201856613159
five_nodes,IT-STGCN,0.125,block,4,4,nearest,150,1.1267781257629395,113.08758759498596
five_nodes,IT-STGCN,0.125,block,4,4,linear,150,1.1570965051651,113.61643767356873
five_nodes,IT-STGCN,0.125,block,4,8,nearest,150,1.2850098609924316,117.03181886672974
five_nodes,IT-STGCN,0.125,block,4,8,linear,150,1.222916603088379,117.15114665031433
five_nodes,IT-STGCN,0.125,block,4,12,nearest,150,1.225704550743103,119.65671682357788
five_nodes,IT-STGCN,0.125,block,4,12,linear,150,1.184820294380188,120.2661485671997
five_nodes,IT-STGCN,0.12422360248447205,block,6,4,nearest,150,1.1888426542282104,115.73231267929077
five_nodes,IT-STGCN,0.12422360248447205,block,6,4,linear,150,1.163749098777771,114.32261967658997
five_nodes,IT-STGCN,0.12422360248447205,block,6,8,nearest,150,1.1381677389144897,118.92659378051758
five_nodes,IT-STGCN,0.12422360248447205,block,6,8,linear,150,1.157378077507019,117.58267664909363
five_nodes,IT-STGCN,0.12422360248447205,block,6,12,nearest,150,1.317537784576416,122.49976396560669
five_nodes,IT-STGCN,0.12422360248447205,block,6,12,linear,150,1.254655361175537,122.09174275398254
five_nodes,STGCN,0.125,block,2,4,nearest,150,1.182509183883667,112.27906584739685
five_nodes,STGCN,0.125,block,2,4,linear,150,1.1696751117706299,116.12449145317078
five_nodes,STGCN,0.125,block,2,8,nearest,150,1.1717312335968018,118.6554503440857
five_nodes,STGCN,0.125,block,2,8,linear,150,1.2241395711898804,115.82061290740967
five_nodes,STGCN,0.125,block,2,12,nearest,150,1.1857613325119019,116.10252571105957
five_nodes,STGCN,0.125,block,2,12,linear,150,1.1307483911514282,117.31382465362549
five_nodes,STGCN,0.125,block,4,4,nearest,150,1.206673502922058,108.77214026451111
five_nodes,STGCN,0.125,block,4,4,linear,150,1.2082232236862183,111.49627733230591
five_nodes,STGCN,0.125,block,4,8,nearest,150,1.2541704177856445,116.3757255077362
five_nodes,STGCN,0.125,block,4,8,linear,150,1.2585889101028442,112.81994104385376
five_nodes,STGCN,0.125,block,4,12,nearest,150,1.2771862745285034,116.26192426681519
five_nodes,STGCN,0.125,block,4,12,linear,150,1.448486328125,114.94504809379578
five_nodes,STGCN,0.12422360248447205,block,6,4,nearest,150,1.2522578239440918,109.42516279220581
five_nodes,STGCN,0.12422360248447205,block,6,4,linear,150,1.165052890777588,110.20639991760254
