,Unnamed: 0,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
0,0,five_nodes,STGCN,0.0,,2,4,,100,1.2097784280776978,74.07845449447632
1,1,five_nodes,STGCN,0.0,,2,4,,100,1.1569664478302002,73.29204368591309
2,2,five_nodes,STGCN,0.0,,2,8,,100,1.103081464767456,75.18352437019348
3,3,five_nodes,STGCN,0.0,,2,8,,100,1.1367175579071045,75.26855659484863
4,4,five_nodes,STGCN,0.0,,2,12,,100,1.2301183938980105,76.3616349697113
5,5,five_nodes,STGCN,0.0,,2,12,,100,1.150325894355774,75.85893034934998
6,6,five_nodes,STGCN,0.0,,4,4,,100,1.198498010635376,72.84880542755127
7,7,five_nodes,STGCN,0.0,,4,4,,100,1.1955125331878662,71.50498485565186
8,8,five_nodes,STGCN,0.0,,4,8,,100,1.185976505279541,74.49012637138367
9,9,five_nodes,STGCN,0.0,,4,8,,100,1.1559300422668457,73.14089488983154
10,10,five_nodes,STGCN,0.0,,4,12,,100,1.1502059698104858,74.84093809127808
11,11,five_nodes,STGCN,0.0,,4,12,,100,1.2719149589538574,75.76808071136475
12,12,five_nodes,STGCN,0.0,,6,4,,100,1.1798545122146606,73.16850900650024
13,13,five_nodes,STGCN,0.0,,6,4,,100,1.2062036991119385,71.5233461856842
14,14,five_nodes,STGCN,0.0,,6,8,,100,1.2312880754470823,74.58269572257996
15,15,five_nodes,STGCN,0.0,,6,8,,100,1.201211929321289,77.46097016334534
16,16,five_nodes,STGCN,0.0,,6,12,,100,1.2325369119644165,75.34104466438293
17,17,five_nodes,STGCN,0.0,,6,12,,100,1.2909570932388306,75.44606423377991
18,18,five_nodes,IT-STGCN,0.0,,2,4,,100,1.131240963935852,76.78732395172119
19,19,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1381739377975464,76.65951895713806
20,20,five_nodes,IT-STGCN,0.0,,2,8,,100,1.0994036197662354,78.3111503124237
21,21,five_nodes,IT-STGCN,0.0,,2,8,,100,1.186302900314331,79.49380683898926
22,22,five_nodes,IT-STGCN,0.0,,2,12,,100,1.179288625717163,78.94335985183716
23,23,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1656007766723633,79.0343816280365
24,24,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1678045988082886,75.86984515190125
25,25,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1795440912246704,76.06346797943115
26,26,five_nodes,IT-STGCN,0.0,,4,8,,100,1.0849207639694214,77.38996839523315
27,27,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1825454235076904,77.46410942077637
28,28,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1368188858032229,78.46381521224976
29,29,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1936514377593994,78.77224588394165
30,30,five_nodes,IT-STGCN,0.0,,6,4,,100,1.147002339363098,75.13947129249573
31,31,five_nodes,IT-STGCN,0.0,,6,4,,100,1.1664772033691406,75.103994846344
32,32,five_nodes,IT-STGCN,0.0,,6,8,,100,1.137985110282898,91.34042167663574
33,33,five_nodes,IT-STGCN,0.0,,6,8,,100,1.2862120866775513,98.16856169700624
34,34,five_nodes,IT-STGCN,0.0,,6,12,,100,1.1133604049682615,103.86906623840332
35,35,five_nodes,IT-STGCN,0.0,,6,12,,100,1.269972324371338,78.0227313041687
36,36,five_nodes,STGCN,0.0,,2,4,,100,1.1367274522781372,76.65515780448914
37,37,five_nodes,STGCN,0.0,,2,4,,100,1.1340571641921997,79.40241694450378
38,38,five_nodes,STGCN,0.0,,2,8,,100,1.1420516967773438,94.5089783668518
39,39,five_nodes,STGCN,0.0,,2,8,,100,1.179671049118042,95.0235834121704
40,40,five_nodes,STGCN,0.0,,2,12,,100,1.1523106098175049,96.43307423591614
41,41,five_nodes,STGCN,0.0,,2,12,,100,1.1409679651260376,75.43261337280273
42,42,five_nodes,STGCN,0.0,,4,4,,100,1.1375112533569336,72.02106094360352
43,43,five_nodes,STGCN,0.0,,4,4,,100,1.2172857522964478,71.4471492767334
44,44,five_nodes,STGCN,0.0,,4,8,,100,1.2340600490570068,73.30741047859192
45,45,five_nodes,STGCN,0.0,,4,8,,100,1.1431128978729248,74.20685839653015
46,46,five_nodes,STGCN,0.0,,4,12,,100,1.1957203149795532,74.45512008666992
47,47,five_nodes,STGCN,0.0,,4,12,,100,1.305696964263916,74.22500514984131
48,48,five_nodes,STGCN,0.0,,6,4,,100,1.1657129526138306,71.3119797706604
49,49,five_nodes,STGCN,0.0,,6,4,,100,1.191567301750183,71.49640727043152
50,50,five_nodes,STGCN,0.0,,6,8,,100,1.1853922605514526,72.02498173713684
51,51,five_nodes,STGCN,0.0,,6,8,,100,1.1023133993148804,72.32225584983826
52,52,five_nodes,STGCN,0.0,,6,12,,100,1.237310528755188,73.62018489837646
53,53,five_nodes,STGCN,0.0,,6,12,,100,1.303235650062561,73.43907356262207
54,54,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1441313028335571,75.75424885749817
55,55,five_nodes,IT-STGCN,0.0,,2,4,,100,1.136938214302063,75.42112922668457
56,56,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1659711599349976,77.1684820652008
57,57,five_nodes,IT-STGCN,0.0,,2,8,,100,1.176205277442932,78.34508991241455
58,58,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1442477703094482,78.63817191123962
59,59,five_nodes,IT-STGCN,0.0,,2,12,,100,1.104478359222412,78.711580991745
60,60,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1291755437850952,77.1080904006958
61,61,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1730504035949707,75.05366969108582
62,62,five_nodes,IT-STGCN,0.0,,4,8,,100,1.226422905921936,78.3831877708435
63,63,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1798187494277954,77.73536920547485
64,64,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1435062885284424,78.51187229156494
65,65,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1158102750778198,78.64370274543762
66,66,five_nodes,IT-STGCN,0.0,,6,4,,100,1.194019079208374,74.98084878921509
67,67,five_nodes,IT-STGCN,0.0,,6,4,,100,1.165263295173645,75.02856755256653
68,68,five_nodes,IT-STGCN,0.0,,6,8,,100,1.180109620094299,77.14964318275452
69,69,five_nodes,IT-STGCN,0.0,,6,8,,100,1.272204041481018,77.11341953277588
70,70,five_nodes,IT-STGCN,0.0,,6,12,,100,1.3041847944259644,78.3248028755188
71,71,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2435660362243652,77.88160014152527
72,72,five_nodes,STGCN,0.0,,2,4,,100,1.1425161361694336,72.3711507320404
73,73,five_nodes,STGCN,0.0,,2,4,,100,1.1578632593154907,72.48617053031921
74,74,five_nodes,STGCN,0.0,,2,8,,100,1.1481109857559204,74.81443977355957
75,75,five_nodes,STGCN,0.0,,2,8,,100,1.109268307685852,79.19214177131653
76,76,five_nodes,STGCN,0.0,,2,12,,100,1.1594734191894531,75.99401998519897
77,77,five_nodes,STGCN,0.0,,2,12,,100,1.127975583076477,75.17615723609924
78,78,five_nodes,STGCN,0.0,,4,4,,100,1.180465579032898,71.38217830657959
79,79,five_nodes,STGCN,0.0,,4,4,,100,1.1889002323150637,71.61868166923523
80,80,five_nodes,STGCN,0.0,,4,8,,100,1.204205870628357,73.88779544830322
81,81,five_nodes,STGCN,0.0,,4,8,,100,1.0833436250686646,73.68425273895264
82,82,five_nodes,STGCN,0.0,,4,12,,100,1.3442165851593018,74.62873792648315
83,83,five_nodes,STGCN,0.0,,4,12,,100,1.0944730043411257,74.4959785938263
84,84,five_nodes,STGCN,0.0,,6,4,,100,1.1109510660171509,71.4374327659607
85,85,five_nodes,STGCN,0.0,,6,4,,100,1.2376463413238523,71.39639472961426
86,86,five_nodes,STGCN,0.0,,6,8,,100,1.2558162212371826,72.94590902328491
87,87,five_nodes,STGCN,0.0,,6,8,,100,1.1630473136901855,72.85306525230408
88,88,five_nodes,STGCN,0.0,,6,12,,100,1.2364455461502075,73.96617364883423
89,89,five_nodes,STGCN,0.0,,6,12,,100,1.197625756263733,73.86099314689636
90,90,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1501030921936035,76.06261849403381
91,91,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1811069250106812,76.1652479171753
92,92,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1580564975738523,77.87163591384888
93,93,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1020302772521973,78.18701529502869
