dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
five_nodes,STGCN,0.0,,2,4,,150,1.166216254234314,109.71617293357849
five_nodes,STGCN,0.0,,2,4,,150,1.1287494897842407,109.58166265487671
five_nodes,STGCN,0.0,,2,8,,150,1.1890959739685059,114.17666864395142
five_nodes,STGCN,0.0,,2,8,,150,1.1217765808105469,112.99746632575989
five_nodes,STGCN,0.0,,2,12,,150,1.168020486831665,116.20266819000244
five_nodes,STGCN,0.0,,2,12,,150,1.1302316188812256,118.923180103302
five_nodes,STGCN,0.0,,4,4,,150,1.1110492944717407,108.13131952285767
five_nodes,STGCN,0.0,,4,4,,150,1.1099423170089722,106.99262309074402
five_nodes,STGCN,0.0,,4,8,,150,1.1437299251556396,110.13789916038513
five_nodes,STGCN,0.0,,4,8,,150,1.141485333442688,109.5653486251831
five_nodes,STGCN,0.0,,4,12,,150,1.2026851177215576,112.6818425655365
five_nodes,STGCN,0.0,,4,12,,150,1.1801202297210693,112.40408873558044
five_nodes,STGCN,0.0,,6,4,,150,1.178907871246338,106.52734780311584
five_nodes,STGCN,0.0,,6,4,,150,1.102872371673584,106.30572938919067
five_nodes,STGCN,0.0,,6,8,,150,1.1906994581222534,108.6320264339447
five_nodes,STGCN,0.0,,6,8,,150,1.1819126605987549,109.02314281463623
five_nodes,STGCN,0.0,,6,12,,150,1.2723147869110107,111.93897342681885
five_nodes,STGCN,0.0,,6,12,,150,1.3982012271881104,112.05790209770203
five_nodes,STGCN,0.2,rand,2,4,nearest,150,1.116369366645813,108.52424645423889
five_nodes,STGCN,0.2,rand,2,4,linear,150,1.0993064641952515,108.65190386772156
five_nodes,STGCN,0.2,rand,2,8,nearest,150,1.1687002182006836,111.76556181907654
five_nodes,STGCN,0.2,rand,2,8,linear,150,1.1448218822479248,112.22296118736267
five_nodes,STGCN,0.2,rand,2,12,nearest,150,1.1631662845611572,112.96032309532166
five_nodes,STGCN,0.2,rand,2,12,linear,150,1.194493055343628,113.62336730957031
five_nodes,STGCN,0.2,rand,4,4,nearest,150,1.1813830137252808,107.19407200813293
five_nodes,STGCN,0.2,rand,4,4,linear,150,1.1878432035446167,106.99196910858154
five_nodes,STGCN,0.2,rand,4,8,nearest,150,1.2841763496398926,109.22764229774475
five_nodes,STGCN,0.2,rand,4,8,linear,150,1.0830515623092651,109.60700559616089
five_nodes,STGCN,0.2,rand,4,12,nearest,150,1.2817654609680176,111.00468730926514
