dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.229209542274475,0.7580902576446533
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2236438989639282,0.6816999912261963
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2370855808258057,0.684112548828125
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2251135110855105,0.6592099666595459
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2161914110183716,0.6642076969146729
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2298623323440552,0.7909259796142578
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2503643035888672,0.7886741161346436
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2351531982421875,0.7701168060302734
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2502541542053225,0.7618110179901123
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2196730375289917,0.6839330196380615
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.1795108318328855,0.6841201782226562
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2067785263061523,0.6592123508453369
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.194415807723999,0.6621596813201904
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2406822443008425,0.7773082256317139
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.253071665763855,0.7730610370635986
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2517390251159668,0.7556066513061523
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2738209962844849,0.7550208568572998
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2588250637054443,0.7629489898681641
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2313419580459597,0.6759181022644043
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.236581802368164,0.7829575538635254
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.1957584619522097,0.6553936004638672
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.199265718460083,0.6480846405029297
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.169655203819275,0.6322188377380371
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.22855544090271,0.7620654106140137
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2263925075531006,0.7615780830383301
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.270504593849182,0.7364449501037598
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2620484828948977,0.7327437400817871
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2198498249053955,0.666576623916626
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2403732538223269,0.6627693176269531
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.253207087516785,0.6419711112976074
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.178273320198059,0.6475894451141357
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.232308268547058,0.7749555110931396
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.238749623298645,0.773827075958252
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.222861409187317,0.7489166259765625
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2342087030410769,0.7547838687896729
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2133771181106567,0.6978325843811035
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.1871250867843628,0.7015330791473389
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2260822057724,0.6571335792541504
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2477933168411257,0.7834253311157227
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2277637720108032,0.6793079376220703
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2123308181762695,0.6789712905883789
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.183987021446228,0.6593701839447021
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.216323733329773,0.6826586723327637
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2313278913497925,0.6581673622131348
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.1886359453201294,0.6642274856567383
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2323641777038574,0.7773599624633789
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2319318056106567,0.7719662189483643
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2321264743804932,0.7488186359405518
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.251455783843994,0.7455120086669922
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2163584232330322,0.679286003112793
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.206714749336243,0.681410551071167
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2402913570404053,0.6537208557128906
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.215151071548462,0.6611673831939697
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2290472984313965,0.7703311443328857
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2407324314117432,0.772845983505249
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.246609807014465,0.7516353130340576
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2572035789489746,0.7957775592803955
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2125685214996338,0.6767942905426025
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.1835697889328003,0.6795127391815186
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2324150800704956,0.6834366321563721
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2314338684082031,0.6618621349334717
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.235450267791748,0.7548973560333252
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2404849529266355,0.7803568840026855
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.243621587753296,0.7863125801086426
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2356010675430298,0.7857470512390137
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2234628200531006,0.7644083499908447
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2610316276550293,0.757086992263794
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.216731071472168,0.6925134658813477
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.1911619901657104,0.7019853591918945
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.227936625480652,0.6654963493347168
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2412973642349243,0.6629288196563721
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2435375452041626,0.7800533771514893
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.233867049217224,0.7801110744476318
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2237162590026855,0.7560174465179443
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.258208394050598,0.7582788467407227
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2194498777389526,0.677804708480835
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.19173002243042,0.6804816722869873
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2350531816482544,0.6603446006774902
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.197110652923584,0.6611328125
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2513303756713867,0.7818984985351562
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.234092354774475,0.7531712055206299
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.217006802558899,0.6771750450134277
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2417072057724,0.7500123977661133
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2276294231414795,0.747389554977417
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.1647677421569824,0.6871154308319092
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2390066385269165,0.6684901714324951
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2559012174606323,0.666954517364502
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2250326871871948,0.7695221900939941
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.257711410522461,0.7697298526763916
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2338135242462158,0.7500808238983154
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2389360666275024,0.7475533485412598
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2387793064117432,0.67852783203125
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.202098727226257,0.6785423755645752
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2345893383026123,0.6512327194213867
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.243840217590332,0.6549465656280518
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2382792234420776,0.7715556621551514
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.253782033920288,0.7711701393127441
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.247390627861023,0.7524774074554443
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2432092428207395,0.7487146854400635
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2249358892440796,0.6768450736999512
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.1929680109024048,0.6803109645843506
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2120051383972168,0.6861395835876465
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2223076820373535,0.6543529033660889
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2378196716308594,0.7544527053833008
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2305669784545898,0.7746579647064209
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2167723178863523,0.7784585952758789
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.253598928451538,0.7719860076904297
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2408413887023926,0.7541618347167969
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.267399549484253,0.754370927810669
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2148590087890625,0.6815624237060547
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2336114645004272,0.6767480373382568
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2358921766281128,0.6514062881469727
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2112739086151123,0.6632125377655029
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.239775538444519,0.776392936706543
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.23919415473938,0.7767715454101562
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2434945106506348,0.750485897064209
pedalme,IT-STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.258784294128418,0.756162166595459
pedalme,STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2199344635009766,0.6874525547027588
pedalme,STGCN,0.0476190476190476,block,2,12.0,cubic,5.0,1.2349499464035034,0.6867785453796387
pedalme,STGCN,0.0476190476190476,block,2,4.0,linear,5.0,1.2235019207000732,0.660228967666626
pedalme,STGCN,0.0476190476190476,block,2,4.0,cubic,5.0,1.2762125730514526,0.6558859348297119
pedalme,IT-STGCN,0.0476190476190476,block,2,12.0,linear,5.0,1.2394758462905884,0.7721908092498779
