dataset,RecurrentGCN,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7802221775054932,834.0523943901062
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7395451664924622,977.9734780788422
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7466540336608887,642.5348472595215
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7644776701927185,1026.0073370933533
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7435351610183716,815.6125855445862
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7401508092880249,899.7140107154846
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.745189905166626,747.572598695755
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7417539358139038,1049.2972121238708
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7529789209365845,639.2658205032349
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7721469402313232,979.2526414394379
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7761731147766113,850.3850858211517
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7829004526138306,938.8474097251892
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.8329287171363831,785.3095698356628
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7853220105171204,956.3284382820129
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7977315783500671,724.5607924461365
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7842239737510681,950.7587161064148
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.803484320640564,697.803295135498
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7318954467773438,963.4073271751404
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7631205320358276,832.9163024425507
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7523503303527832,911.4025993347168
