dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5383257865905762,249.52986598014832
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1242690086364746,511.48175501823425
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.6108553409576416,379.6751139163971
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.129892110824585,428.7920937538147
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5966156721115112,239.8466293811798
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1369644403457642,374.02085852622986
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5369240045547485,266.13013100624084
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.119532585144043,495.2951545715332
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.4834522008895874,242.71656370162964
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.0798170566558838,356.9970076084137
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5488369464874268,239.25709104537964
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1574511528015137,348.3528573513031
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5978977680206299,236.32610177993774
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.0826165676116943,353.4291307926178
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.4574884176254272,237.04286241531372
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1419367790222168,348.44548177719116
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5270692110061646,241.2900583744049
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1398632526397705,349.2318170070648
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5875896215438843,236.17582631111145
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1676414012908936,333.90584325790405
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5213943719863892,223.18128371238708
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1060906648635864,351.48870396614075
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.6396079063415527,238.51564288139343
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1274620294570923,348.4793481826782
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5135210752487183,239.62426614761353
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.2157799005508423,355.14194321632385
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.4660602807998657,238.65472102165222
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1209514141082764,351.1177830696106
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5891010761260986,242.5763635635376
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1102735996246338,349.4701931476593
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.4232633113861084,257.7926380634308
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1412616968154907,349.7516887187958
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5718165636062622,240.73207187652588
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1342023611068726,354.0522964000702
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5071487426757812,236.65741443634033
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1171890497207642,353.1764438152313
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5700029134750366,236.2837302684784
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.089223027229309,345.7074432373047
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.591720461845398,237.62742495536804
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1137880086898804,360.62153792381287
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.6075831651687622,239.45527052879333
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.0893698930740356,354.84544491767883
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.4849779605865479,240.18868684768677
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1194000244140625,356.58139395713806
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.4601465463638306,238.82188749313354
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1191530227661133,362.4236958026886
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5384249687194824,237.55092120170593
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.0808802843093872,349.63702416419983
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.4720548391342163,236.88212132453918
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1420055627822876,353.04759883880615
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5455422401428223,241.69595766067505
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1158270835876465,348.8024408817291
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5207769870758057,240.03209519386292
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.0911859273910522,351.25737404823303
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.4208705425262451,235.91244840621948
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1042741537094116,336.395459651947
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5522139072418213,225.71654653549194
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.111960530281067,347.6303050518036
monte,STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.5004868507385254,241.91672587394714
monte,IT-STGCN,GConvGRU,0.8,rand,4,12,linear,50,1.1277010440826416,355.8753128051758
