dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,lr,mse,calculation_time
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.3894866704940796,9.554355144500732
pedalme,STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.754675030708313,5.750790119171143
pedalme,STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.7779698371887207,7.0098185539245605
pedalme,STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.5018643140792847,16.834758281707764
pedalme,STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2523092031478882,4.395775079727173
pedalme,STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.2940129041671753,2.057340383529663
pedalme,STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.5906950235366821,4.2579827308654785
pedalme,STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.5375988483428955,6.142721176147461
pedalme,STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.4403595924377441,3.333641290664673
pedalme,IT-STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.3275353908538818,11.108953714370728
pedalme,IT-STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.8349511623382568,7.039920806884766
pedalme,IT-STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.4828423261642456,8.243675947189331
pedalme,IT-STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.3954739570617676,17.26608443260193
pedalme,IT-STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2679874897003174,4.911738395690918
pedalme,IT-STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.3277037143707275,2.9189488887786865
pedalme,IT-STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.4511419534683228,4.8552868366241455
pedalme,IT-STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.4750763177871704,6.468321323394775
pedalme,IT-STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.3446370363235474,4.091626405715942
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.65212881565094,8.681896924972534
pedalme,STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.6250524520874023,5.2338645458221436
pedalme,STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.6536657810211182,6.285394191741943
pedalme,STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.429486632347107,64.40849828720093
pedalme,STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2961242198944092,4.227224349975586
pedalme,STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.318245530128479,2.1141927242279053
pedalme,STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.502218246459961,4.357878923416138
pedalme,STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.6553086042404175,6.17234468460083
pedalme,STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.4902621507644653,3.3818655014038086
pedalme,IT-STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.51394522190094,11.109705209732056
pedalme,IT-STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.3944857120513916,7.183971643447876
pedalme,IT-STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.4601752758026123,7.835896730422974
pedalme,IT-STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.559807300567627,41.77890396118164
pedalme,IT-STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2541916370391846,5.049195289611816
pedalme,IT-STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.9047746658325195,3.086921453475952
pedalme,IT-STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.4071073532104492,5.286706209182739
pedalme,IT-STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.440722107887268,7.055604457855225
pedalme,IT-STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.079291820526123,4.38796067237854
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.7295479774475098,9.297614812850952
pedalme,STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.6271628141403198,5.194114446640015
pedalme,STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.6901332139968872,6.648234844207764
pedalme,STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.419301986694336,17.28741765022278
pedalme,STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.262235403060913,4.084483861923218
pedalme,STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.4611897468566895,1.9992396831512451
pedalme,STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.7716736793518066,4.093013048171997
pedalme,STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.6197099685668945,5.8471808433532715
pedalme,STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.2574814558029175,3.1431593894958496
pedalme,IT-STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.5763145685195923,10.547066926956177
pedalme,IT-STGCN,DCRNN,0.8,rand,2,12,linear,50,0.01,1.3654555082321167,5.8212199211120605
pedalme,IT-STGCN,GConvLSTM,0.8,rand,2,12,linear,50,0.01,1.564462423324585,6.8658530712127686
pedalme,IT-STGCN,MPNNLSTM,0.8,rand,2,12,linear,50,0.01,1.2863370180130005,20.959165811538696
pedalme,IT-STGCN,TGCN,0.8,rand,2,12,linear,50,0.01,1.2426789999008179,4.9537835121154785
pedalme,IT-STGCN,EvolveGCNO,0.8,rand,2,12,linear,50,0.01,1.2936667203903198,2.791820526123047
pedalme,IT-STGCN,GCLSTM,0.8,rand,2,12,linear,50,0.01,1.5539515018463135,4.687415599822998
pedalme,IT-STGCN,LRGCN,0.8,rand,2,12,linear,50,0.01,1.567840576171875,6.3137047290802
pedalme,IT-STGCN,EvolveGCNH,0.8,rand,2,12,linear,50,0.01,1.5857831239700317,3.8600499629974365
pedalme,STGCN,GConvGRU,0.8,rand,2,12,linear,50,0.01,1.693764567375183,9.100883960723877
