dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.6,rand,8,12,linear,50,0.7765475511550903,556.957683801651
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.7109361886978149,784.6174833774567
wikimath,STGCN,0.6,rand,8,12,linear,50,0.8266537189483643,221.7639524936676
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.7373936176300049,566.5008208751678
wikimath,STGCN,0.6,rand,8,12,linear,50,0.7856588959693909,281.33397340774536
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.7694565057754517,499.17425084114075
wikimath,STGCN,0.6,rand,8,12,linear,50,0.7933735251426697,527.5439765453339
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.7479106187820435,713.8969638347626
wikimath,STGCN,0.6,rand,8,12,linear,50,0.737930953502655,522.8527481555939
wikimath,IT-STGCN,0.6,rand,8,12,linear,50,0.757185697555542,692.1755595207214
