dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.949232816696167,57.61204242706299
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9510427713394164,75.24992275238037
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0310417413711548,60.81821823120117
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.047276258468628,62.65639400482178
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.026210069656372,62.704330921173096
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0761891603469849,62.84552192687988
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0609334707260132,63.07549023628235
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.1281052827835083,63.02926445007324
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.097839593887329,63.33541440963745
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.228181004524231,63.18929934501648
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0876728296279907,62.82601594924927
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.101872801780701,62.99486970901489
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9436355233192444,76.25617146492004
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9584161639213562,76.45755648612976
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9784961342811584,76.19668865203857
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.9767627716064452,76.74165964126587
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,0.9970873594284058,75.73302793502808
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0107780694961548,76.07959818840027
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0035353899002075,76.00888681411743
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.005221247673035,75.8766279220581
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.057296633720398,76.23420238494873
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.1257926225662231,76.1843032836914
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0480153560638428,76.0469708442688
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,3.30348539352417,76.07936453819275
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9445804953575134,63.05508732795715
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9479863047599792,62.96927618980408
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0518019199371338,62.87222337722778
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0622398853302002,63.21571040153504
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.0355372428894043,63.39792251586914
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.085205078125,64.69733953475952
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.070096731185913,62.97329235076904
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0619181394577026,62.99468779563904
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.060054063796997,62.88648247718811
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.3961280584335327,62.92744517326355
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.2152366638183594,63.124267578125
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,3.148545265197754,62.99395871162415
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9519193768501282,76.60948324203491
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9508327841758728,76.5087366104126
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9908869862556458,76.128986120224
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.9748145341873168,77.20051765441895
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,0.9926972389221193,75.99322056770325
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,0.992478370666504,76.55807137489319
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0117263793945312,76.21065664291382
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.019261360168457,75.81568431854248
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.055627703666687,76.216481924057
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.0805659294128418,75.85806465148926
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0984163284301758,76.20101618766785
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.2923998832702637,76.15223288536072
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9448566436767578,63.15933418273926
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9542686343193054,63.07872414588928
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0414103269577026,62.887391090393066
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0614476203918457,62.84148406982422
chickenpox,STGCN,DCRNN,0.4,rand,4,16,linear,50,1.0355254411697388,62.97297930717468
chickenpox,STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.05670428276062,62.92923331260681
chickenpox,STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0551984310150146,63.248165130615234
chickenpox,STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0735403299331665,62.79152703285217
chickenpox,STGCN,DCRNN,0.8,rand,4,16,linear,50,1.1210973262786863,63.00325655937195
chickenpox,STGCN,DCRNN,0.8,rand,4,16,cubic,50,2.242790937423706,62.79297041893005
chickenpox,STGCN,DCRNN,0.9,rand,4,16,linear,50,1.2440251111984253,62.85837244987488
chickenpox,STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.6990721225738523,62.64725422859192
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9558084607124328,75.93223452568054
chickenpox,IT-STGCN,DCRNN,0.0,,4,16,,50,0.9626094698905944,75.51943945884705
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,linear,50,0.9813292622566224,75.55664563179016
chickenpox,IT-STGCN,DCRNN,0.3,rand,4,16,cubic,50,0.9886089563369752,75.94747471809387
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,linear,50,0.9974377155303956,75.45964360237122
chickenpox,IT-STGCN,DCRNN,0.4,rand,4,16,cubic,50,1.0057843923568726,75.58891439437866
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,linear,50,1.0078322887420654,75.61479187011719
chickenpox,IT-STGCN,DCRNN,0.5,rand,4,16,cubic,50,1.0144166946411133,75.83117198944092
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,linear,50,1.065067172050476,76.02340006828308
chickenpox,IT-STGCN,DCRNN,0.8,rand,4,16,cubic,50,1.1221237182617188,75.98757648468018
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,linear,50,1.0984965562820437,75.85019135475159
chickenpox,IT-STGCN,DCRNN,0.9,rand,4,16,cubic,50,1.1387964487075806,79.0309727191925
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9632244110107422,62.972827196121216
chickenpox,STGCN,DCRNN,0.0,,4,16,,50,0.9567894339561462,62.372934103012085
chickenpox,STGCN,DCRNN,0.3,rand,4,16,linear,50,1.0239646434783936,62.37921571731568
chickenpox,STGCN,DCRNN,0.3,rand,4,16,cubic,50,1.0511151552200315,62.70256519317627
