dataset,RecurrentGCN,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.250152587890625,53.52873468399048
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2508081197738647,53.31806254386902
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2305891513824463,67.31124138832092
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.3387433290481567,90.99880075454712
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.324748396873474,70.24910402297974
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.5419796705245972,70.18426728248596
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.242347002029419,76.63585233688354
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.25581693649292,76.54702019691467
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2816734313964844,76.21251225471497
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2468311786651611,76.74932789802551
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.2282122373580933,76.71607899665833
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.579483985900879,76.34231305122375
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2388511896133425,69.63533329963684
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2439391613006592,69.58078598976135
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2370890378952026,69.52455306053162
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.20889151096344,69.77449989318848
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.2529137134552002,69.33845853805542
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,2.1505355834960938,69.1421148777008
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2392117977142334,75.36211156845093
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2425743341445925,75.60849666595459
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2398816347122192,75.53927874565125
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2294654846191406,75.96424269676208
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.249618411064148,75.87885904312134
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.3087767362594604,75.49476099014282
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.248093843460083,69.23748445510864
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2539310455322266,69.5105345249176
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2405614852905271,69.6525206565857
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2475204467773438,69.57604503631592
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.3316962718963623,69.5779242515564
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,2.010167121887207,70.75241255760193
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2443610429763794,75.87873315811157
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.245302438735962,75.81730031967163
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2444130182266235,76.38370847702026
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.269309163093567,75.76576709747314
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.4212015867233276,75.75452661514282
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.810797095298767,75.56995010375977
