dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1811035871505735,5.895219802856445
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.248005747795105,5.130110740661621
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.191690444946289,5.466649055480957
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.279097318649292,4.442182540893555
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.1605050563812256,5.448436260223389
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.188434600830078,4.949608564376831
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.2332781553268433,6.398785352706909
pedalme,STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.227565050125122,6.211889266967773
pedalme,STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2183576822280884,5.568511486053467
pedalme,STGCN,DCRNN,0.5,rand,4,12,linear,50,1.2133634090423584,5.921919345855713
pedalme,STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2976268529891968,5.972764492034912
pedalme,STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.2561163902282717,5.593949556350708
pedalme,STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2617621421813965,5.873998165130615
pedalme,STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.306280255317688,5.818803310394287
pedalme,STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.3407756090164185,5.631577491760254
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2008299827575684,8.500311374664307
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2031291723251345,8.40659236907959
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2092725038528442,8.698941946029663
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2906546592712402,8.417552471160889
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2199894189834597,8.917592763900757
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.213194727897644,7.650489330291748
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,linear,50,1.224990725517273,8.526312589645386
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2252156734466553,7.448452472686768
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2031357288360596,7.605439186096191
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,linear,50,1.2405842542648315,8.502443790435791
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2667980194091797,8.492789030075073
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.1685760021209717,8.319119930267334
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2165147066116333,7.950107574462891
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.2897984981536863,7.532238721847534
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.320178747177124,8.030057430267334
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.2175238132476809,6.224203109741211
