dataset,RecurrentGCN,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.7326105237007141,811.6068482398987
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.8420964479446411,934.3361439704896
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.7553930282592773,821.9190897941589
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.7634146809577942,923.342521905899
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.7594971656799316,635.3233942985535
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.7290898561477661,974.57816696167
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.725147545337677,844.1367890834808
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.7676632404327393,884.6342422962189
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.8500657677650452,745.0339665412903
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.9388750195503236,1097.9558832645416
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.7372629642486572,762.4695138931274
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.7438399195671082,893.469633102417
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.7826933264732361,880.6132848262787
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.7363483309745789,976.983145236969
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.7638221383094788,704.128897190094
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.7516586184501648,964.1312384605408
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.7350991368293762,851.9990904331207
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.7455680966377258,968.6913294792176
wikimath,DCRNN,STGCN,0.0,,8,12,,50,0.743881344795227,692.7842693328857
wikimath,DCRNN,IT-STGCN,0.0,,8,12,,50,0.7653886079788208,937.7462933063508
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7802221775054932,834.0523943901062
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7395451664924622,977.9734780788422
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7466540336608887,642.5348472595215
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7644776701927185,1026.0073370933533
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7435351610183716,815.6125855445862
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7401508092880249,899.7140107154846
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.745189905166626,747.572598695755
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7417539358139038,1049.2972121238708
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7529789209365845,639.2658205032349
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7721469402313232,979.252641439438
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7761731147766113,850.3850858211517
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7829004526138306,938.8474097251892
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.8329287171363831,785.3095698356628
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7853220105171204,956.3284382820128
wikimath,DCRNN,STGCN,0.3,rand,8,12,linear,50,0.7977315783500671,724.5607924461365
wikimath,DCRNN,IT-STGCN,0.3,rand,8,12,linear,50,0.7842239737510681,950.7587161064148
