dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0228846073150634
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0059273242950439
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0055572986602783
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0102169513702392
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0068907737731933
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0051887035369873
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0050897598266601
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0049397945404052
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0073378086090087
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0060727596282958
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0050575733184814
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0049579143524169
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0067420005798339
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0051014423370361
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0051400661468505
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0050318241119384
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0047488212585449
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0066637992858886
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0104787349700927
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.00527024269104
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0051741600036621
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0052263736724853
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0052230358123779
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0052413940429687
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0049524307250976
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0051784515380859
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0050606727600097
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0052299499511718
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0056438446044921
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0050523281097412
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0067315101623535
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0055048465728759
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0054807662963867
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0069503784179687
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0052471160888671
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.005333662033081
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.005197525024414
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0051701068878173
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0051116943359375
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0050177574157714
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0068738460540771
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.005216360092163
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0051665306091308
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0052969455718994
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0051689147949218
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0068402290344238
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0051031112670898
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0067932605743408
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0051712989807128
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0050718784332275
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0054223537445068
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0051610469818115
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0050356388092041
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0052340030670166
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0050265789031982
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0050959587097167
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0056664943695068
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0066862106323242
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0051326751708984
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0050420761108398
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0072171688079833
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0051994323730468
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0050709247589111
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0069119930267333
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0055787563323974
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0105543136596679
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0051665306091308
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0066759586334228
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0051424503326416
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0050611495971679
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.007002830505371
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0052595138549804
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.005594253540039
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0052449703216552
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0069246292114257
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0097627639770507
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0102691650390625
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.00551438331604
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.008263349533081
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0052275657653808
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0051538944244384
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0068724155426025
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.005122423171997
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.004976749420166
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0068235397338867
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0051250457763671
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.005077838897705
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0053343772888183
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.005599021911621
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0052003860473632
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0052213668823242
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.006850242614746
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0055353641510009
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0051078796386718
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0070507526397705
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0053341388702392
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0118224620819091
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0054965019226074
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0069484710693359
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0052196979522705
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0108199119567871
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.006258487701416
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0051867961883544
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0050792694091796
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0052466392517089
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0070569515228271
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0052177906036376
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0052394866943359
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0052895545959472
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0073881149291992
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0055093765258789
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0078709125518798
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.0074431896209716
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0052301883697509
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.007390022277832
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0054726600646972
five_nodes,GNAR,0.7,rand,2,,linear,,1.4068299531936646,0.005601167678833
five_nodes,GNAR,0.75,rand,2,,linear,,1.4068299531936646,0.0050997734069824
five_nodes,GNAR,0.8,rand,2,,linear,,1.4068299531936646,0.0052435398101806
five_nodes,GNAR,0.85,rand,2,,linear,,1.4068299531936646,0.0072791576385498
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.154594898223877,87.88152146339417
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.1975902318954468,88.31840372085571
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.1619744300842283,86.49132776260376
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.1757384538650513,89.01773738861084
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.354763388633728,90.81235766410828
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.3003511428833008,92.80434441566469
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.183924674987793,89.52665948867798
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.2311245203018188,91.70783853530884
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.1948531866073608,86.5527172088623
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.2353399991989136,88.20876622200012
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.435771942138672,86.44755291938782
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.2404550313949585,88.09500288963318
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.287634015083313,89.31359219551086
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.2883645296096802,91.56273818016052
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.1394346952438354,89.73392105102539
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.5181949138641355,92.63269424438477
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.3015841245651243,87.02164506912231
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.2330632209777832,89.2797167301178
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.3556939363479614,86.52114391326904
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.4377734661102295,88.09879851341248
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.2926325798034668,90.52360129356384
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.175957202911377,92.18757700920104
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.273546814918518,90.00340533256531
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.1470001935958862,92.25586557388306
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.1303348541259766,87.15085220336914
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.107883334159851,88.30156350135803
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.2024635076522827,86.80855870246887
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.1432651281356812,88.55880689620972
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.3021742105484009,89.18139147758484
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.3359735012054443,91.3763530254364
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.1600664854049685,89.73032879829407
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.2171591520309448,91.32920098304749
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.3447401523590088,87.20994138717651
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.2099241018295288,89.14608645439148
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.261915922164917,86.92552161216736
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.118397831916809,89.14665913581848
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.2241432666778564,90.21540880203248
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.067426681518555,92.43266344070436
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.1579943895339966,90.53145265579224
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.4179916381835938,92.5884621143341
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.1470768451690674,87.69831681251526
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.5786938667297363,89.13666725158691
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.216915488243103,104.05601739883424
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.2336620092391968,110.27051424980164
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.19707190990448,117.09977769851685
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.1874620914459229,116.89096093177795
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.153415560722351,117.38663816452026
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.1273828744888306,117.37455487251282
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.153858661651611,113.64435720443726
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.1421113014221191,112.88923239707948
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.198595404624939,113.66233730316162
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.123607158660889,113.36185097694396
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.1490778923034668,118.2566909790039
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.179120659828186,117.61260604858398
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.2314423322677612,119.16443824768066
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.0867947340011597,117.11210203170776
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.0793129205703735,112.14657831192017
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.2214409112930298,111.85063862800598
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.2548704147338867,113.02244234085084
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.2043938636779783,113.23330903053284
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.2801880836486816,119.48613810539246
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.2497535943984983,119.05433773994446
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.210249662399292,117.9113941192627
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.2447881698608398,118.97536897659302
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.3143577575683594,114.081805229187
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.131314039230347,112.91460371017456
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.492525339126587,130.26384377479553
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.1904977560043335,111.40388226509094
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.2019765377044678,117.33145761489868
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.1524163484573364,116.81681847572328
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.12498140335083,118.01942205429076
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.2108447551727295,117.08438420295715
fivenodes,STGCN,0.7,rand,2,12.0,linear,150.0,1.164738655090332,112.05596709251404
fivenodes,STGCN,0.7,rand,2,16.0,linear,150.0,1.2959362268447876,111.29249382019044
fivenodes,STGCN,0.75,rand,2,12.0,linear,150.0,1.200311303138733,111.8467059135437
fivenodes,STGCN,0.75,rand,2,16.0,linear,150.0,1.1445858478546145,111.2694616317749
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,150.0,1.24994158744812,117.43427038192748
fivenodes,IT-STGCN,0.7,rand,2,16.0,linear,150.0,1.218904972076416,117.13317489624023
fivenodes,IT-STGCN,0.75,rand,2,12.0,linear,150.0,1.2390674352645874,117.74406671524048
fivenodes,IT-STGCN,0.75,rand,2,16.0,linear,150.0,1.1865979433059692,116.956481218338
