dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9724912643432616,333.7102355957031
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9744104146957396,452.89686369895935
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9686284065246582,410.8311350345612
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9767956137657166,455.9804458618164
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.973313808441162,305.612496137619
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9749862551689148,492.29810190200806
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9729079008102416,335.8822407722473
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9778314232826232,460.26314091682434
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9713388681411744,360.5372316837311
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9686858654022216,471.05074524879456
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9717831015586852,340.3733403682709
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9656894207000732,443.3038280010224
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9718395471572876,335.16304063797
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9763200879096984,450.0641920566559
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9701235890388488,320.6661264896393
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9772852659225464,467.08777260780334
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9728476405143738,333.4136302471161
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9744539856910706,487.6540577411652
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9737915992736816,379.1308600902557
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9727895259857178,450.2398896217346
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9721574783325196,362.1238996982575
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9726955890655518,432.0927901268005
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9691200852394104,356.9465425014496
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9736815690994264,429.6818435192108
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.964633285999298,383.086663722992
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9780253171920776,434.3774950504303
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9737810492515564,351.8668415546417
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.973667562007904,474.8307476043701
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.973883092403412,387.0957930088043
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9774742722511292,474.135906457901
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.973516583442688,365.223432302475
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9712462425231934,482.5346312522888
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9703046679496764,365.5257132053375
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9702880382537842,495.1629142761231
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9745184183120728,353.3611726760864
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9778826236724854,491.8113996982575
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9710837602615356,354.77656292915344
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9790564179420472,493.3524076938629
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9769549369812012,340.2138705253601
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9762542843818665,425.4901351928711
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9740599989891052,232.88955760002136
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9768463969230652,439.4828550815582
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.972661018371582,392.49752163887024
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9757469892501832,458.0182785987854
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9745727181434632,378.50476574897766
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9800143241882324,455.8400509357453
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9682848453521729,356.41050958633423
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9756796360015868,468.1601278781891
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9738358855247498,363.871386051178
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9775168299674988,553.6729710102081
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9720022082328796,289.5644826889038
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9748843312263488,523.6646564006805
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.969554603099823,313.30153608322144
monte,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.973815381526947,509.97214126586914
monte,STGCN,0.3,rand,8,12.0,linear,50.0,0.9731106162071228,330.483163356781
