dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9659903645515442,228.12214183807373
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.969626009464264,232.54577803611755
monte,IT-STGCN,0.1491424310216256,block,4,12,linear,50,0.9662919044494628,296.22814989089966
monte,IT-STGCN,0.1491424310216256,block,8,12,linear,50,0.9733980894088744,293.681738615036
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9659501910209656,219.76943516731265
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.9732654690742492,218.00121545791623
monte,IT-STGCN,0.1491424310216256,block,4,12,linear,50,0.9607768058776855,299.461149930954
monte,IT-STGCN,0.1491424310216256,block,8,12,linear,50,0.9737477898597716,315.0914902687073
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9652875661849976,238.7378935813904
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.9732005596160888,201.54341626167297
monte,IT-STGCN,0.1491424310216256,block,4,12,linear,50,0.9640954732894896,296.00273418426514
monte,IT-STGCN,0.1491424310216256,block,8,12,linear,50,0.9728736281394958,309.3279700279236
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9663735032081604,220.6335563659668
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.973498523235321,202.7843022346497
monte,IT-STGCN,0.1491424310216256,block,4,12,linear,50,0.9664679765701294,299.1869492530823
monte,IT-STGCN,0.1491424310216256,block,8,12,linear,50,0.972737193107605,306.8867881298065
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9646004438400269,218.67775797843933
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.972994327545166,194.6845359802246
monte,IT-STGCN,0.1491424310216256,block,4,12,linear,50,0.9625222086906432,286.54330348968506
monte,IT-STGCN,0.1491424310216256,block,8,12,linear,50,0.972817838191986,293.2391405105591
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9625359773635864,246.27516889572144
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.9722449779510498,238.86348843574524
monte,IT-STGCN,0.1491424310216256,block,4,12,linear,50,0.9623212814331056,319.4024817943573
monte,IT-STGCN,0.1491424310216256,block,8,12,linear,50,0.971263825893402,325.1762840747833
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9617199301719666,241.6655993461609
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.9736118912696838,238.3054370880127
monte,IT-STGCN,0.1491424310216256,block,4,12,linear,50,0.964798390865326,331.49244689941406
monte,IT-STGCN,0.1491424310216256,block,8,12,linear,50,0.9703534245491028,336.4883797168732
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9659406542778016,234.72045803070068
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.9725777506828308,239.4607288837433
monte,IT-STGCN,0.1491424310216256,block,4,12,linear,50,0.963201105594635,328.72221994400024
monte,IT-STGCN,0.1491424310216256,block,8,12,linear,50,0.9735000729560852,340.02088022232056
monte,STGCN,0.1491424310216256,block,4,12,linear,50,0.9664065837860109,202.87831282615664
monte,STGCN,0.1491424310216256,block,8,12,linear,50,0.969330370426178,245.83267188072205
