dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0,,4,12,,50,1.3069100379943848,8.732039213180542
pedalme,STGCN,0,,4,12,,50,1.305282711982727,7.919563293457031
pedalme,STGCN,0,,8,12,,50,1.5011098384857178,5.745389223098755
pedalme,STGCN,0,,8,12,,50,1.5132521390914917,6.01973819732666
pedalme,IT-STGCN,0,,4,12,,50,1.182467341423035,7.945591688156128
pedalme,IT-STGCN,0,,4,12,,50,1.2926710844039917,8.497769355773926
pedalme,IT-STGCN,0,,8,12,,50,1.3793343305587769,7.12238359451294
pedalme,IT-STGCN,0,,8,12,,50,1.3606339693069458,6.881072759628296
pedalme,STGCN,0,,4,12,,50,1.2035905122756958,6.8068037033081055
pedalme,STGCN,0,,4,12,,50,1.3168747425079346,7.15565037727356
pedalme,STGCN,0,,8,12,,50,1.4547499418258667,5.936181545257568
pedalme,STGCN,0,,8,12,,50,1.5054148435592651,5.846529960632324
pedalme,IT-STGCN,0,,4,12,,50,1.2706120014190674,7.68184232711792
pedalme,IT-STGCN,0,,4,12,,50,1.2803058624267578,7.9308037757873535
pedalme,IT-STGCN,0,,8,12,,50,1.3297091722488403,7.357825994491577
pedalme,IT-STGCN,0,,8,12,,50,1.3986412286758425,7.181628704071045
pedalme,STGCN,0,,4,12,,50,1.3370074033737185,6.958190202713013
pedalme,STGCN,0,,4,12,,50,1.2922402620315552,6.699360370635986
pedalme,STGCN,0,,8,12,,50,1.604534387588501,6.022291421890259
pedalme,STGCN,0,,8,12,,50,1.3989956378936768,5.970915794372559
pedalme,IT-STGCN,0,,4,12,,50,1.2419809103012085,7.769655466079712
pedalme,IT-STGCN,0,,4,12,,50,1.1865615844726562,7.847354412078857
pedalme,IT-STGCN,0,,8,12,,50,1.430588960647583,6.934093236923218
pedalme,IT-STGCN,0,,8,12,,50,1.4358689785003662,7.069601535797119
pedalme,STGCN,0,,4,12,,50,1.2838189601898191,6.62353515625
pedalme,STGCN,0,,4,12,,50,1.2500039339065552,6.615186929702759
pedalme,STGCN,0,,8,12,,50,1.5910178422927856,5.963682413101196
pedalme,STGCN,0,,8,12,,50,1.4229263067245483,5.7916579246521
pedalme,IT-STGCN,0,,4,12,,50,1.2191717624664309,7.688703060150146
pedalme,IT-STGCN,0,,4,12,,50,1.3118314743041992,7.7167067527771
pedalme,IT-STGCN,0,,8,12,,50,1.529542088508606,16.337339401245117
pedalme,IT-STGCN,0,,8,12,,50,1.7518033981323242,18.7626850605011
pedalme,STGCN,0,,4,12,,50,1.2426526546478271,17.4124653339386
pedalme,STGCN,0,,4,12,,50,1.3846471309661863,14.786865234375
pedalme,STGCN,0,,8,12,,50,1.6282809972763062,16.888499975204468
pedalme,STGCN,0,,8,12,,50,1.480857014656067,16.67090368270874
pedalme,IT-STGCN,0,,4,12,,50,1.2633037567138672,19.99111223220825
pedalme,IT-STGCN,0,,4,12,,50,1.240142583847046,26.27519679069519
pedalme,IT-STGCN,0,,8,12,,50,1.5847710371017456,10.084261894226074
pedalme,IT-STGCN,0,,8,12,,50,1.3525307178497314,10.422465562820436
pedalme,STGCN,0,,4,12,,50,1.3166760206222534,9.27812933921814
pedalme,STGCN,0,,4,12,,50,1.2655798196792605,8.749387979507446
pedalme,STGCN,0,,8,12,,50,1.4569950103759766,7.776590824127197
pedalme,STGCN,0,,8,12,,50,1.45966374874115,7.985105991363525
pedalme,IT-STGCN,0,,4,12,,50,1.255803465843201,12.066291809082031
pedalme,IT-STGCN,0,,4,12,,50,1.2916120290756226,12.0021812915802
pedalme,IT-STGCN,0,,8,12,,50,1.5549777746200562,10.965931177139282
pedalme,IT-STGCN,0,,8,12,,50,1.3821635246276855,10.596378803253174
pedalme,STGCN,0,,4,12,,50,1.2378075122833252,10.077171325683594
pedalme,STGCN,0,,4,12,,50,1.2917938232421875,9.035982847213743
pedalme,STGCN,0,,8,12,,50,1.4167124032974243,8.984866619110107
pedalme,STGCN,0,,8,12,,50,1.3816369771957395,5.924411773681641
pedalme,IT-STGCN,0,,4,12,,50,1.305500626564026,7.669616222381592
pedalme,IT-STGCN,0,,4,12,,50,1.2150853872299194,8.004075765609741
pedalme,IT-STGCN,0,,8,12,,50,1.764026165008545,6.9214935302734375
pedalme,IT-STGCN,0,,8,12,,50,1.4099305868148804,6.923555612564087
pedalme,STGCN,0,,4,12,,50,1.2573679685592651,6.737508058547974
pedalme,STGCN,0,,4,12,,50,1.20497465133667,6.651410341262817
pedalme,STGCN,0,,8,12,,50,1.45994234085083,6.639819383621216
pedalme,STGCN,0,,8,12,,50,1.545606017112732,5.824589014053345
pedalme,IT-STGCN,0,,4,12,,50,1.236390471458435,8.153575897216797
pedalme,IT-STGCN,0,,4,12,,50,1.2536437511444092,7.976720809936523
pedalme,IT-STGCN,0,,8,12,,50,1.5412148237228394,7.044800043106079
pedalme,IT-STGCN,0,,8,12,,50,1.347644329071045,8.476450443267822
pedalme,STGCN,0,,4,12,,50,1.256337285041809,7.143638849258423
pedalme,STGCN,0,,4,12,,50,1.2296160459518433,6.52738618850708
pedalme,STGCN,0,,8,12,,50,1.562186360359192,6.098078489303589
pedalme,STGCN,0,,8,12,,50,1.4745317697525024,5.850395917892456
pedalme,IT-STGCN,0,,4,12,,50,1.2076443433761597,8.07556939125061
pedalme,IT-STGCN,0,,4,12,,50,1.3026645183563232,8.132124185562134
pedalme,IT-STGCN,0,,8,12,,50,1.5610637664794922,6.706315279006958
pedalme,IT-STGCN,0,,8,12,,50,1.3375791311264038,7.561012983322143
pedalme,STGCN,0,,4,12,,50,1.3125087022781372,7.006660461425781
pedalme,STGCN,0,,4,12,,50,1.251939296722412,7.169863700866699
pedalme,STGCN,0,,8,12,,50,1.4824018478393557,6.391853332519531
pedalme,STGCN,0,,8,12,,50,1.4180331230163574,6.305355072021484
pedalme,IT-STGCN,0,,4,12,,50,1.2351114749908447,7.831503391265869
pedalme,IT-STGCN,0,,4,12,,50,1.2435749769210815,7.481549263000488
pedalme,IT-STGCN,0,,8,12,,50,1.63297700881958,7.109981060028076
pedalme,IT-STGCN,0,,8,12,,50,1.609621286392212,21.28360319137573
pedalme,STGCN,0,,4,12,,50,1.2732232809066772,13.087565898895264
pedalme,STGCN,0,,4,12,,50,1.2259005308151243,14.923099517822266
pedalme,STGCN,0,,8,12,,50,1.5654867887496948,11.087112665176392
pedalme,STGCN,0,,8,12,,50,1.47947359085083,10.1312837600708
pedalme,IT-STGCN,0,,4,12,,50,1.2311153411865234,11.716545343399048
pedalme,IT-STGCN,0,,4,12,,50,1.1975606679916382,11.683526515960692
pedalme,IT-STGCN,0,,8,12,,50,1.4836481809616089,11.608704566955566
