dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,2,12.0,linear,50.0,0.8027037978172302,1277.7399427890778
wikimath,STGCN,0.3,rand,4,12.0,linear,50.0,0.8210780024528503,1172.2519445419312
wikimath,IT-STGCN,0.3,rand,2,12.0,linear,50.0,0.8383516669273376,1402.391126394272
wikimath,IT-STGCN,0.3,rand,4,12.0,linear,50.0,0.799131453037262,1326.566323041916
wikimath,STGCN,0.3,rand,2,12.0,linear,50.0,0.8068431615829468,1191.852196931839
wikimath,STGCN,0.3,rand,4,12.0,linear,50.0,0.7927375435829163,1134.7071952819824
wikimath,IT-STGCN,0.3,rand,2,12.0,linear,50.0,0.8430517315864563,1367.690898656845
wikimath,IT-STGCN,0.3,rand,4,12.0,linear,50.0,0.7980583310127258,1368.855387687683
wikimath,STGCN,0.3,rand,2,12.0,linear,50.0,0.8055256605148315,1268.0235900878906
wikimath,STGCN,0.3,rand,4,12.0,linear,50.0,0.7913498878479004,1225.367083311081
wikimath,IT-STGCN,0.3,rand,2,12.0,linear,50.0,0.799401581287384,1362.45667719841
wikimath,IT-STGCN,0.3,rand,4,12.0,linear,50.0,0.7984835505485535,1315.9077315330503
wikimath,STGCN,0.3,rand,2,12.0,linear,50.0,0.8076636791229248,1220.3876283168793
wikimath,STGCN,0.3,rand,4,12.0,linear,50.0,0.8006177544593811,1103.450600862503
wikimath,IT-STGCN,0.3,rand,2,12.0,linear,50.0,0.8067672252655029,1252.5172016620636
wikimath,IT-STGCN,0.3,rand,4,12.0,linear,50.0,0.8028126955032349,916.9435300827026
wikimath,STGCN,0.3,rand,2,12.0,linear,50.0,0.8100462555885315,831.8410110473633
wikimath,STGCN,0.3,rand,4,12.0,linear,50.0,0.8252162337303162,787.222009897232
wikimath,IT-STGCN,0.3,rand,2,12.0,linear,50.0,0.8139832615852356,964.2106697559356
wikimath,IT-STGCN,0.3,rand,4,12.0,linear,50.0,0.7968255877494812,927.7417969703674
wikimath,STGCN,0.3,rand,2,12.0,linear,50.0,0.809244692325592,1050.2692232131958
wikimath,STGCN,0.3,rand,4,12.0,linear,50.0,0.7994270324707031,1369.6210873126984
wikimath,IT-STGCN,0.3,rand,2,12.0,linear,50.0,0.7956383228302002,1682.5019664764404
wikimath,IT-STGCN,0.3,rand,4,12.0,linear,50.0,0.792052686214447,1602.4093687534332
wikimath,STGCN,0.3,rand,2,12.0,linear,50.0,0.8090770244598389,1404.097819328308
wikimath,STGCN,0.3,rand,4,12.0,linear,50.0,0.7933312058448792,1143.0086727142334
