dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.152875900268555,6313.288062095642
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,1.0364329814910889,22320.41753959656
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.1958200931549072,7198.5674250125885
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.988993763923645,22596.460238933563
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.162381291389465,5670.147311925888
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.997345507144928,23138.06952619553
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.172795057296753,5040.361471414566
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9972932934761048,14919.968816280363
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.1476173400878906,4242.202198505402
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,1.0013394355773926,14067.988997459412
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.140901803970337,3699.896555423737
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9973344802856444,10613.572529792786
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.1663329601287842,3160.670958042145
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,1.0083271265029907,10710.904654026031
windmilmedium,GNAR,0.0,,8,,,,1.4121333360671997,7.866339445114136
windmilmedium,GNAR,0.3,rand,8,,linear,,1.4121333360671997,9.66128659248352
windmilmedium,GNAR,0.0,,8,,,,1.4121333360671997,7.454097509384155
windmilmedium,GNAR,0.3,rand,8,,linear,,1.4121333360671997,5.307494401931763
windmilmedium,GNAR,0.0,,8,,,,1.4121333360671997,5.445800304412842
windmilmedium,GNAR,0.3,rand,8,,linear,,1.4121333360671997,5.400228261947632
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.1910187005996704,3171.902169942856
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9933021068572998,10572.606398820875
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.1692285537719729,3173.632963180542
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.99756920337677,10529.156979560852
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.1379810571670532,3170.8264031410217
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,1.007093071937561,10532.460965156555
windmillmedium,STGCN,0.3,rand,8,12.0,linear,50.0,1.1498252153396606,3155.83606672287
windmillmedium,IT-STGCN,0.3,rand,8,12.0,linear,50.0,0.9961144924163818,10547.157814979551
