dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.4360774755477903,3599.78556227684
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.290895938873291,21271.478419542316
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.41009783744812,5360.238694906235
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1769814491271973,21911.82811331749
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.447851300239563,5242.276792764664
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.236207365989685,21923.291712284088
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.451413631439209,5336.93133354187
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.131486415863037,22034.334355592728
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.6395355463027954,5374.781471967697
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1634498834609983,22391.02966117859
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.3576279878616333,5255.277149200439
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.0905730724334717,21786.439643621445
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.4746887683868408,5344.856775999069
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.2131447792053225,18864.511740922928
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.432316541671753,5866.557247638702
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.2593140602111816,22608.95950436592
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.3528906106948853,6104.66272854805
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.122436285018921,23707.73771166801
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.3966853618621826,5376.5269503593445
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.240505576133728,21911.539248228077
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.493456482887268,5319.657551765442
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1543855667114258,21992.14067268372
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.354009985923767,5378.28062582016
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.2739267349243164,22154.491727113724
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.474986553192139,5342.137408256531
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.2083204984664917,22141.59663033485
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.3982069492340088,5293.765680074692
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.157928466796875,21822.56122493744
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.298188090324402,5368.452146053314
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1341898441314695,21770.03537487984
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.341672420501709,5296.761078596115
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1307717561721802,22344.81211137772
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.447551131248474,5500.389327287674
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1034431457519531,22110.808756828308
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.3170262575149536,5413.226308107376
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1796690225601196,21870.435347557068
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.328009843826294,5324.373490095139
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1797142028808594,21947.48398137093
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.360411524772644,5278.449165582657
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1140326261520386,22147.43993711472
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.4820027351379397,5442.38335108757
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.207370400428772,21968.65089416504
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.4325357675552368,5289.703378915787
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.180271029472351,21318.0345556736
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.4339035749435425,6213.982103824616
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.184075117111206,23490.12897491455
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.346140742301941,6016.866316795349
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1513313055038452,22637.560081243515
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.5167925357818604,6235.503776788712
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1755001544952393,23489.5445895195
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.4520394802093506,6037.267916202545
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.173910140991211,22508.827319145203
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.307773470878601,6214.433591842651
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.1216142177581787,19500.32863163948
windmillsmall,STGCN,0.7,rand,8,12.0,linear,50.0,1.3656938076019287,6082.587688446045
windmillsmall,IT-STGCN,0.7,rand,8,12.0,linear,50.0,1.128651738166809,22662.24965286255
