dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.008876919746399,5832.84482049942
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.009035348892212,23690.16722893715
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0345726013183594,6260.864650726318
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.00868558883667,22853.57236003876
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0195530652999878,5903.5548183918
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0160692930221558,22507.632103443146
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0109033584594729,4281.715130329132
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.005078911781311,22904.314032316208
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0235450267791748,5984.759454727173
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.010509729385376,23684.178646087646
windmillsmall,GNAR,0.3251630692792435,block,8,,linear,,1.6492302417755127,3.2261176109313965
windmillsmall,GNAR,0.3251630692792435,block,8,,linear,,1.6492302417755127,4.182251930236816
windmillsmall,GNAR,0.3251630692792435,block,8,,linear,,1.6492302417755127,3.14148211479187
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0129138231277466,6272.410695552826
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0169910192489624,21878.111349582672
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0094692707061768,3573.5350239276886
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.029105305671692,13650.738005161284
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.022344946861267,3577.903014421463
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0094445943832395,13384.02830862999
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0036518573760986,5441.922065496445
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0390655994415283,21465.05341076851
windmillsmall,STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0320883989334106,5574.651755571365
windmillsmall,IT-STGCN,0.3251630692792435,block,8,12.0,linear,50.0,1.0257683992385864,21199.50182056427
