dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmilmedium,GNAR,0.1,rand,4,,cubic,,1.4105236530303955,3.150951385498047
windmilmedium,GNAR,0.1,rand,4,,cubic,,1.4105236530303955,2.926644802093506
windmilmedium,GNAR,0.1,rand,4,,cubic,,1.4105236530303955,2.406094074249268
windmilmedium,STGCN,0.1,rand,2,12.0,cubic,1.0,1.038629174232483,85.2052264213562
windmilmedium,IT-STGCN,0.1,rand,2,12.0,cubic,1.0,0.9916866421699524,282.15989899635315
windmilmedium,STGCN,0.4,rand,2,12.0,cubic,1.0,1.3258445262908936,85.72181010246277
windmilmedium,IT-STGCN,0.4,rand,2,12.0,cubic,1.0,1.1503862142562866,282.68880009651184
windmilmedium,STGCN,0.8,rand,2,12.0,cubic,1.0,1.8740447759628296,85.17197918891907
windmilmedium,IT-STGCN,0.8,rand,2,12.0,cubic,1.0,1.7727460861206057,262.40902400016785
windmilmedium,STGCN,0.8,rand,2,12.0,linear,1.0,1.4279102087020874,84.16704630851746
windmilmedium,IT-STGCN,0.8,rand,2,12.0,linear,1.0,1.182180643081665,287.88624453544617
windmilmedium,STGCN,0.5,rand,4,12.0,cubic,1.0,1.5683221817016602,87.43562889099121
windmilmedium,IT-STGCN,0.5,rand,4,12.0,cubic,1.0,1.232029914855957,273.543776512146
windmilmedium,STGCN,0.8,rand,2,16.0,linear,1.0,1.4490774869918823,93.40864157676695
windmilmedium,IT-STGCN,0.8,rand,2,16.0,linear,1.0,1.4300251007080078,306.2110733985901
windmilmedium,STGCN,0.8,rand,2,32.0,linear,1.0,1.3390849828720093,88.79532384872437
windmilmedium,IT-STGCN,0.8,rand,2,32.0,linear,1.0,1.203084111213684,309.62375116348267
windmilmedium,STGCN,0.8,rand,2,4.0,linear,1.0,1.2568508386611938,79.95004034042358
windmilmedium,IT-STGCN,0.8,rand,2,4.0,linear,1.0,1.2173314094543457,295.93721318244934
windmilmedium,STGCN,0.8,rand,2,8.0,linear,1.0,1.2598395347595217,83.66788649559021
windmilmedium,IT-STGCN,0.8,rand,2,8.0,linear,1.0,1.1623098850250244,259.4980001449585
