dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.3,rand,4,16,linear,50,0.9676488637924194,54.60809350013733
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.259320020675659,54.08033347129822
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8063487410545349,91.49847793579102
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3822728395462036,80.53181862831116
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0478686094284058,43.53705668449402
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.138855457305908,43.04366636276245
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8048893809318542,62.88352823257446
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.343384027481079,67.26048588752747
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0084487199783323,52.53591871261597
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.220791816711426,54.01087474822998
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.7950279712677002,91.9724054336548
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.4419105052947998,89.01072311401367
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0289462804794312,53.254387855529785
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.25376558303833,50.91297936439514
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.796922504901886,92.86214113235474
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.6727818250656128,86.07286286354065
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.039333462715149,46.598674058914185
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.2483084201812744,46.75857901573181
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.8024243712425232,66.69107913970947
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.4046785831451416,62.54196643829346
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0308912992477417,44.79904770851135
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.2075703144073486,53.37729430198669
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.7961801290512085,101.26250386238098
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.4241297245025637,92.07584500312804
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0327229499816897,54.63194513320923
chickenpox,STGCN,0.8,rand,4,16,linear,50,2.332345962524414,53.43171668052673
chickenpox,IT-STGCN,0.3,rand,4,16,linear,50,0.7794613242149353,92.30472922325134
chickenpox,IT-STGCN,0.8,rand,4,16,linear,50,1.3906751871109009,80.69989252090454
chickenpox,STGCN,0.3,rand,4,16,linear,50,1.0252907276153564,42.24405598640442
