dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.0,,4,12,,50,0.9511991739273072,31.416730165481567
chickenpox,IT-STGCN,0.0,,4,12,,50,0.8275919556617737,164.5360071659088
chickenpox,STGCN,0.0,,4,12,,50,0.8078822493553162,116.04196977615356
chickenpox,IT-STGCN,0.0,,4,12,,50,0.92012619972229,150.07663583755493
chickenpox,STGCN,0.0,,4,12,,50,0.9201783537864684,73.59545373916626
chickenpox,IT-STGCN,0.0,,4,12,,50,0.9465634226799012,62.957491636276245
chickenpox,STGCN,0.0,,4,12,,50,0.875666618347168,35.72670602798462
chickenpox,IT-STGCN,0.0,,4,12,,50,0.8581902980804443,49.25709748268128
chickenpox,STGCN,0.0,,4,12,,50,0.9956946969032288,38.79078245162964
chickenpox,IT-STGCN,0.0,,4,12,,50,0.920237123966217,174.0641188621521
chickenpox,STGCN,0.0,,4,12,,50,1.0169053077697754,120.03874588012695
chickenpox,IT-STGCN,0.0,,4,12,,50,1.0011579990386963,144.71651673316956
chickenpox,STGCN,0.0,,4,12,,50,0.9406869411468506,74.05984473228455
chickenpox,IT-STGCN,0.0,,4,12,,50,0.9107180833816528,51.98276209831238
chickenpox,STGCN,0.0,,4,12,,50,1.0473958253860474,29.801022052764893
chickenpox,IT-STGCN,0.0,,4,12,,50,0.937043070793152,46.77527570724487
chickenpox,STGCN,0.0,,4,12,,50,0.8397002220153809,32.96872901916504
chickenpox,IT-STGCN,0.0,,4,12,,50,0.8815833926200867,142.14415216445923
chickenpox,STGCN,0.0,,4,12,,50,0.906493365764618,117.97239208221436
chickenpox,IT-STGCN,0.0,,4,12,,50,0.9174587726593018,160.07086777687073
chickenpox,STGCN,0.0,,4,12,,50,0.8580878973007202,78.54691791534424
chickenpox,IT-STGCN,0.0,,4,12,,50,0.8724297285079956,69.08844542503357
chickenpox,STGCN,0.0,,4,12,,50,0.9387706518173218,30.772638082504272
chickenpox,IT-STGCN,0.0,,4,12,,50,0.8320426940917969,45.897454261779785
chickenpox,STGCN,0.0,,4,12,,50,0.8670864105224609,46.90866208076477
chickenpox,IT-STGCN,0.0,,4,12,,50,0.8972414135932922,109.09788584709167
chickenpox,STGCN,0.0,,4,12,,50,0.9167841076850892,139.91713190078735
chickenpox,IT-STGCN,0.0,,4,12,,50,0.9251858592033386,148.51682019233704
chickenpox,STGCN,0.0,,4,12,,50,0.8920196890830994,84.57680010795593
chickenpox,IT-STGCN,0.0,,4,12,,50,0.8407666087150574,74.5203127861023
chickenpox,STGCN,0.0,,4,12,,50,0.8643535375595093,32.4937686920166
chickenpox,IT-STGCN,0.0,,4,12,,50,0.8918235301971436,41.52749848365784
chickenpox,STGCN,0.0,,4,12,,50,0.8634971380233765,32.64168977737427
chickenpox,IT-STGCN,0.0,,4,12,,50,0.9802688360214232,51.40437531471253
chickenpox,STGCN,0.0,,4,12,,50,0.9318166375160216,137.89810132980347
chickenpox,IT-STGCN,0.0,,4,12,,50,0.902512788772583,155.32892203330994
chickenpox,STGCN,0.0,,4,12,,50,0.8125473260879517,111.29228472709656
chickenpox,IT-STGCN,0.0,,4,12,,50,0.9315382838249208,99.3274610042572
chickenpox,STGCN,0.0,,4,12,,50,0.8268337845802307,39.38843488693237
chickenpox,IT-STGCN,0.0,,4,12,,50,0.9032846093177797,44.12732768058777
chickenpox,STGCN,0.0,,4,12,,50,0.9555525183677672,34.02291297912598
chickenpox,IT-STGCN,0.0,,4,12,,50,0.909900724887848,46.50763368606568
chickenpox,STGCN,0.0,,4,12,,50,0.847150981426239,160.52951097488403
chickenpox,IT-STGCN,0.0,,4,12,,50,0.936463177204132,148.9438157081604
chickenpox,STGCN,0.0,,4,12,,50,0.97105211019516,101.93996834754944
chickenpox,IT-STGCN,0.0,,4,12,,50,0.9057657122612,99.86659955978394
chickenpox,STGCN,0.0,,4,12,,50,0.8818596601486206,37.66495180130005
