dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4789581298828125,65.15089988708496
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4476641416549685,53.222811222076416
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.167637825012207,58.47972989082336
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2266587018966677,45.2947416305542
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.709989309310913,33.037986755371094
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4242547750473022,35.80853509902954
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2852983474731443,31.97372984886169
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.3690060377120972,26.99423384666443
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.597667574882507,16.019951105117798
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.449918508529663,16.002434253692627
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1838916540145874,22.53643560409546
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.205478549003601,25.822771787643436
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.699486255645752,17.499688625335693
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4124832153320312,16.323389291763306
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2207961082458496,24.46349263191223
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2516682147979736,25.71269679069519
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.6004319190979004,17.647428274154663
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3822319507598877,65.27668857574463
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2326184511184692,98.71455812454224
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1803157329559326,70.94877290725708
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.535428524017334,51.364211082458496
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4817852973937988,65.85756611824036
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2517006397247314,75.11981105804443
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2619222402572632,68.26046705245972
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4684582948684692,31.397176027297974
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3119065761566162,31.053297758102417
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1876682043075562,41.45563888549805
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.4219732284545898,42.35975956916809
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.914098858833313,23.71978545188904
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4735406637191772,18.749303340911865
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.220828890800476,21.10441827774048
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.284348726272583,22.091803073883057
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.6199164390563965,15.528831005096436
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4343233108520508,15.15188455581665
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.341320514678955,21.71997094154358
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.162874698638916,21.61253595352173
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.6011760234832764,17.01019811630249
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.600885033607483,16.524891138076782
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.288402080535889,22.302883863449097
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2311936616897583,20.8482677936554
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.7572778463363647,54.03803706169128
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4401297569274902,60.13278150558472
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2238751649856567,62.72448754310608
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2608482837677002,57.87944722175598
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.7958602905273438,44.02329969406128
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4133272171020508,49.668577432632446
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2966467142105105,70.66334652900696
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.242750883102417,31.94576358795166
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.5305835008621216,24.936161279678345
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.451094150543213,22.378575563430783
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2134926319122314,34.103556632995605
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2841315269470217,25.148038625717163
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.531618356704712,12.851519107818604
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.5157313346862793,12.424357414245604
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2379683256149292,18.488605260849
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2570538520812988,16.7561514377594
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.4114667177200315,12.792509078979492
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.385949969291687,13.257023334503174
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.364498257637024,17.300673007965088
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2116148471832275,16.191137075424194
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.517287015914917,13.133327722549438
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.419241428375244,10.80714988708496
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2333532571792605,75.15282225608826
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2581052780151367,74.24379301071167
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.348461031913757,51.63115930557251
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3268295526504517,45.66688513755798
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1574856042861938,59.26889419555664
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.425029754638672,65.90445518493652
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.6073617935180664,47.33694767951965
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.488276720046997,25.406346559524536
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2836652994155884,35.73371863365173
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2669777870178225,35.82609844207764
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.2932226657867432,25.8217191696167
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.4463319778442385,15.98819661140442
