dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.0,,4,12,,50,1.2196707725524902,2.847952127456665
pedalme,STGCN,0.0,,4,12,,50,1.1634011268615725,2.684236764907837
pedalme,STGCN,0.3,rand,4,12,linear,50,1.4498862028121948,2.5814149379730225
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.231646180152893,2.9129297733306885
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5092175006866455,2.6288933753967285
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.5869574546813965,2.6222786903381348
pedalme,IT-STGCN,0.0,,4,12,,50,1.1614537239074707,3.6000401973724365
pedalme,IT-STGCN,0.0,,4,12,,50,1.2866846323013306,4.270164251327515
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2097870111465454,3.621903419494629
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.0826349258422852,11.714449405670166
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2348195314407349,26.33070397377014
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2355297803878784,26.835739135742188
pedalme,STGCN,0.0,,4,12,,50,1.1591905355453491,14.503331899642944
pedalme,STGCN,0.0,,4,12,,50,1.1950316429138184,12.06678295135498
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2105447053909302,11.758408784866331
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.291542887687683,11.17674994468689
pedalme,STGCN,0.6,rand,4,12,linear,50,1.438437581062317,11.349456071853638
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.528075933456421,11.40828537940979
pedalme,IT-STGCN,0.0,,4,12,,50,1.172329664230347,14.309481143951416
pedalme,IT-STGCN,0.0,,4,12,,50,1.188132882118225,12.456114530563354
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2482026815414429,12.058184623718262
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.227410912513733,14.02290153503418
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3441948890686035,14.540093421936035
