dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2858351469039917,5.6300458908081055
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3000550270080566,7.895122528076172
pedalme,STGCN,0.6,rand,4,12,linear,50,1.4818795919418335,7.087121486663818
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.4763953685760498,7.07634162902832
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1413568258285522,27.522989511489868
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.352949857711792,26.683990716934204
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2249051332473757,27.165034532547
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.44851815700531,29.21842336654663
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2072792053222656,6.453698635101318
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.134395718574524,6.60240364074707
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3983864784240725,6.995736598968506
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.5988703966140747,6.950535535812378
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2162333726882937,25.12637066841125
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1804471015930176,23.495469093322757
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2806270122528076,20.28675150871277
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2296254634857178,22.671517610549927
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3350186347961426,2.9286229610443115
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.204073429107666,3.4096503257751465
pedalme,STGCN,0.6,rand,4,12,linear,50,1.636967420578003,2.879119873046875
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.4179350137710571,3.512679100036621
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.281686782836914,16.837981462478638
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3863842487335205,18.275442838668823
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2913047075271606,16.682668447494507
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2281548976898191,12.1103994846344
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3063160181045532,2.894869804382324
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.225039005279541,2.959757089614868
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3827221393585205,3.769904375076294
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.579828858375549,1.8656604290008545
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3113971948623655,14.555500507354736
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1797159910202026,15.284946203231812
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2979841232299805,16.728399991989136
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.305899739265442,14.843915700912476
pedalme,STGCN,0.3,rand,4,12,linear,50,1.239798903465271,2.757452964782715
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3601292371749878,2.4981727600097656
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5009539127349854,3.995936870574951
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.453215718269348,3.056214570999145
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.392356514930725,30.21174550056457
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.262066125869751,51.72401404380798
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.255319118499756,40.10382890701294
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2112133502960205,40.34885287284851
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2302602529525757,9.99147367477417
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.282692313194275,11.599300384521484
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5824108123779297,11.073410987854004
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.5619858503341677,10.08522367477417
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.156866192817688,35.14955449104309
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2076542377471924,35.76779747009277
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.1585867404937744,33.3674476146698
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.1614689826965332,33.197470903396606
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3527259826660156,7.395931005477905
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.244185209274292,12.569304704666138
pedalme,STGCN,0.6,rand,4,12,linear,50,1.601816177368164,9.982072114944458
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.656118392944336,10.863905429840088
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1546200513839722,40.93500590324402
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1157854795455933,38.7485101222992
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.171436786651611,39.44078540802002
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2494852542877195,37.62145781517029
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2732900381088257,12.401935338974
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.247668743133545,12.474396467208862
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3951971530914309,8.299956798553467
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.4617550373077393,9.248995780944824
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2007043361663818,31.35905385017395
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1200311183929443,27.38245987892151
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.352651834487915,27.50996446609497
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.192591905593872,26.758929014205933
pedalme,STGCN,0.3,rand,4,12,linear,50,1.324047327041626,5.912426233291626
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2688528299331665,6.620636940002441
pedalme,STGCN,0.6,rand,4,12,linear,50,1.4528956413269043,6.619754791259766
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.51637065410614,5.091331958770752
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.198362946510315,26.268022060394287
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.243471384048462,26.774810791015625
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2423897981643677,27.330108165740967
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.0904597043991089,23.607541799545288
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2400232553482056,4.687833786010742
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.341827154159546,4.128190755844116
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5114846229553225,4.108231544494629
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.5109034776687622,3.5126953125
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2366080284118652,14.364981651306152
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3192046880722046,14.8782057762146
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.1311205625534058,14.737399578094482
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.296091079711914,15.968704462051392
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3087512254714966,3.539749383926392
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.414022445678711,1.9575731754302976
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3800185918807983,2.165153741836548
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.4588074684143066,3.833815574645996
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.0784870386123655,15.695607423782349
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.176625370979309,15.462021112442017
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.1538358926773071,11.696455717086792
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.1838467121124268,18.020565271377563
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2094321250915527,4.109232902526856
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3063931465148926,3.4972851276397705
