dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5741064548492432,455.4245457649231
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5895598530769348,782.2952618598938
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5681857466697693,528.7813987731934
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.548758864402771,795.6028850078583
wikimath,STGCN,0.3,rand,8,12,linear,50,0.6040928363800049,582.4684507846832
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6026948690414429,790.0714888572693
wikimath,STGCN,0.3,rand,8,12,linear,50,0.562223494052887,408.9677908420563
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5416456460952759,825.9040725231171
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5545142292976379,577.4376714229584
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.573617160320282,805.9051582813263
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5380155444145203,624.8734314441681
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6080613732337952,792.6787176132202
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5592050552368164,451.0882749557495
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.578252911567688,811.4374966621399
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5446221828460693,481.4757754802704
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5537412762641907,824.6033024787903
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5491474866867065,639.1760087013245
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5717558264732361,817.1423556804657
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5610448122024536,322.1323184967041
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5523152947425842,814.5953104496002
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5644627809524536,674.6858196258545
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6139417290687561,811.4350419044495
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5460972785949707,275.28405952453613
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5373572707176208,811.4423418045044
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5689544081687927,680.5228388309479
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6036413908004761,782.2674102783203
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5486112236976624,335.28694891929626
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5505657196044922,740.6101715564728
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5760945081710815,560.3238916397095
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6270570158958435,758.6052298545837
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5525553226470947,476.89324831962585
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.551205039024353,767.924875497818
wikimath,STGCN,0.3,rand,8,12,linear,50,0.572943389415741,403.0565731525421
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6196466684341431,766.0330035686493
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5425637364387512,635.1371562480927
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5909013152122498,757.5037593841553
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5706071257591248,284.14325737953186
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5600700974464417,793.0234613418579
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5728460550308228,687.4246656894684
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5442116260528564,785.0083959102631
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5499171018600464,385.0382552146912
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6496630311012268,751.515528678894
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5561485290527344,550.7739448547363
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5678372979164124,774.2402837276459
wikimath,STGCN,0.3,rand,8,12,linear,50,0.551059365272522,476.849760055542
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5793079137802124,727.7405104637146
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5473382472991943,445.7911202907562
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5438798666000366,804.6372680664062
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5542598366737366,564.3250601291656
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6284422278404236,754.3249139785767
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5898425579071045,361.219743013382
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.542633593082428,742.1286041736603
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5617992877960205,538.9939546585083
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5988924503326416,765.3832759857178
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5414678454399109,514.061630487442
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5930726528167725,746.6720752716064
wikimath,STGCN,0.3,rand,8,12,linear,50,0.587771475315094,399.2178421020508
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5506900548934937,743.9789764881134
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5833763480186462,576.9849765300751
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5730140805244446,770.9192152023315
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7935070395469666,432.9811837673187
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6248831748962402,765.409322977066
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7647327780723572,415.71908950805664
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6132169365882874,796.99787068367
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7455312013626099,583.1979513168335
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.5826908349990845,751.8350560665131
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7293465733528137,306.0176122188568
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.5946913957595825,782.5516185760498
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8550279140472412,673.2112801074982
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6125974059104919,799.3138058185577
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7841481566429138,371.7854914665222
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.633336067199707,782.1534209251404
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7830435633659363,630.4561648368835
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6293863654136658,1034.764937877655
wikimath,STGCN,0.8,rand,8,12,linear,50,0.824639081954956,815.6005210876465
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.5989395380020142,1047.5004246234894
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8200352191925049,681.5761303901672
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6193585395812988,961.5248057842256
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7293171882629395,669.8935573101044
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6071962118148804,874.7864561080933
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7724072337150574,581.038539648056
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.582366943359375,748.1957483291626
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7020230889320374,454.47142910957336
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.577796459197998,737.5463166236877
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7929004430770874,485.2748157978058
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6102306246757507,779.6756319999695
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7278727293014526,541.0306534767151
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.5839044451713562,744.7446119785309
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7201791405677795,364.7644965648651
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.5999646782875061,757.0147907733917
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7955705523490906,584.7109751701355
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.5985686779022217,793.3035125732422
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7595933675765991,291.0968186855316
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6142518520355225,718.6847620010376
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7466527819633484,666.6171939373016
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.5962286591529846,798.8846914768219
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7038888931274414,394.617861032486
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6104766726493835,738.8447091579437
wikimath,STGCN,0.8,rand,8,12,linear,50,0.82541823387146,517.2319872379303
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.5849675536155701,783.2359538078308
wikimath,STGCN,0.8,rand,8,12,linear,50,0.847310483455658,518.6645932197571
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.6185989379882812,754.0738308429718
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7154428362846375,377.9318461418152
