dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6545594334602356,400.98147416114807
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5745749473571777,651.3182437419891
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6283564567565918,350.2322404384613
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5767292976379395,651.5332109928131
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6412218809127808,439.8478298187256
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5565145015716553,622.6770403385162
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6079525351524353,346.61182022094727
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5793508887290955,655.7013599872589
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.5973060131072998,411.9236845970154
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5508833527565002,626.0169644355774
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6382909417152405,358.6591203212738
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5569005608558655,698.5422558784485
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6348315477371216,493.5533046722412
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5654991865158081,706.6528363227844
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6077893972396851,325.0360975265503
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5372273921966553,668.7062616348267
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6334764957427979,436.18090081214905
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5386442542076111,743.4924776554108
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6506657004356384,434.2270061969757
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5682545900344849,714.151703119278
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.5710841417312622,406.39204001426697
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5396603941917419,734.266587972641
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6034583449363708,576.5100255012512
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5555773973464966,720.182324886322
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.659762442111969,284.00206184387207
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5672951340675354,737.3541307449341
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.604775071144104,615.0073375701904
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5441277623176575,723.2907872200012
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.5975217819213867,313.99053716659546
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5422441363334656,646.2862179279327
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6886380910873413,591.3650584220886
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7059666514396667,735.1690812110901
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6455002427101135,353.85224413871765
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5402650237083435,696.5422418117523
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6277709007263184,499.0601427555084
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5587729215621948,731.7011399269104
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6105561852455139,431.85732412338257
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5481564402580261,709.3481328487396
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6315101385116577,424.0477302074432
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.565191924571991,732.8575873374939
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6296693086624146,553.615820646286
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5453459024429321,709.6713213920593
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6187184453010559,320.9580464363098
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5381638407707214,749.3089113235474
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.602188229560852,635.1595435142517
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5931653380393982,718.9361066818237
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6163638830184937,320.6623783111572
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5819847583770752,661.9982681274414
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.5871865153312683,576.5609264373779
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5437077879905701,689.5808515548706
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6488757729530334,418.7678422927856
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5675519704818726,669.5495977401733
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6151556372642517,457.1753413677216
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5537861585617065,700.9689567089081
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6873717904090881,457.2503211498261
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5462374091148376,678.4784212112427
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6150815486907959,374.0081815719605
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.544001579284668,690.1965262889862
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6291565895080566,506.2437348365784
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5431731939315796,677.3282947540283
