dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.0615816116333008,40.43932867050171
chickenpox,STGCN,0.8,rand,4,32,linear,50,1.2408493757247925,40.42841267585754
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,0.9940354824066162,57.0414309501648
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.1176273822784424,44.68996047973633
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.042661190032959,39.91251373291016
chickenpox,STGCN,0.8,rand,4,32,linear,50,1.3325750827789309,42.40562677383423
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,1.0153412818908691,114.66017270088196
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.2095459699630735,89.38669753074646
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.054973602294922,52.77645254135132
chickenpox,STGCN,0.8,rand,4,32,linear,50,1.200038194656372,48.93275094032288
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,1.0074596405029297,92.13482975959778
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.1674398183822632,79.289719581604
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.0590122938156128,40.35658550262451
chickenpox,STGCN,0.8,rand,4,32,linear,50,1.1790810823440552,39.65228128433228
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,0.9994827508926392,46.1590678691864
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.1842849254608154,46.97059941291809
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.0515415668487549,32.71308350563049
chickenpox,STGCN,0.8,rand,4,32,linear,50,1.245711326599121,33.080891370773315
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,1.0436090230941772,109.38128519058228
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.181581735610962,86.72999787330627
chickenpox,STGCN,0.3,rand,4,32,linear,50,1.0820246934890747,55.65652632713318
chickenpox,STGCN,0.8,rand,4,32,linear,50,1.2671221494674685,51.9357373714447
chickenpox,IT-STGCN,0.3,rand,4,32,linear,50,1.0010334253311155,90.11336708068848
chickenpox,IT-STGCN,0.8,rand,4,32,linear,50,1.1691418886184692,77.15330505371094
