dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.8,rand,4,12,nearest,50,1.6982659101486206,67.54978394508362
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.9216145277023315,346.06904435157776
monte,STGCN,0.8,rand,4,12,nearest,50,1.9231386184692385,118.39609122276306
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.041558027267456,202.5753951072693
monte,STGCN,0.8,rand,4,12,nearest,50,1.2719846963882446,73.92923951148987
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.7783164978027344,329.9952392578125
monte,STGCN,0.8,rand,4,12,nearest,50,2.6523261070251465,129.0859661102295
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.7763075828552246,214.6375892162323
monte,STGCN,0.8,rand,4,12,nearest,50,2.107229232788086,67.6703679561615
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.6779015064239502,330.3286156654358
monte,STGCN,0.8,rand,4,12,nearest,50,2.0348153114318848,128.82196927070618
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.8210259675979612,226.341534614563
monte,STGCN,0.8,rand,4,12,nearest,50,2.227850437164306,66.87950396537781
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.4712390899658203,340.6999261379242
monte,STGCN,0.8,rand,4,12,nearest,50,1.90427565574646,121.18438506126404
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.0967764854431152,204.65130925178528
monte,STGCN,0.8,rand,4,12,nearest,50,1.79260516166687,74.92920422554016
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.5578453540802002,342.3001194000244
monte,STGCN,0.8,rand,4,12,nearest,50,2.7734603881835938,123.85252833366394
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.0965769290924072,202.9630210399628
monte,STGCN,0.8,rand,4,12,nearest,50,2.967796564102173,66.9834394454956
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.25562071800232,321.9709393978119
monte,STGCN,0.8,rand,4,12,nearest,50,2.6606931686401367,121.64739775657654
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.1791765689849854,237.75710153579712
monte,STGCN,0.8,rand,4,12,nearest,50,1.675269603729248,73.6647801399231
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.296420097351074,330.94221472740173
