dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7857669591903687,343.94775223731995
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7658155560493469,683.9552025794983
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7867922782897949,542.8595185279846
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7856428623199463,728.1561381816864
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7669730186462402,414.0632925033569
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7958206534385681,669.7155547142029
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7863101363182068,467.9489002227783
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7498995661735535,712.4424335956573
wikimath,STGCN,0.3,rand,8,12,linear,50,0.787693440914154,413.2953593730927
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7628644704818726,669.542423248291
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7889106273651123,447.1343855857849
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7547740340232849,721.0081658363342
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7476567029953003,349.1903839111328
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.788800060749054,608.7848205566406
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7662700414657593,337.65085768699646
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7581425309181213,589.9470019340515
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7754064202308655,329.9071068763733
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7928784489631653,561.2949392795563
wikimath,STGCN,0.3,rand,8,12,linear,50,0.805344820022583,358.4789333343506
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7934706211090088,580.3159744739532
wikimath,STGCN,0.3,rand,8,12,linear,50,0.760246753692627,251.245995759964
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7842891812324524,549.830438375473
wikimath,STGCN,0.3,rand,8,12,linear,50,0.8073313236236572,431.1849925518036
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7472729086875916,567.5236537456512
wikimath,STGCN,0.3,rand,8,12,linear,50,0.832120954990387,246.98890042304996
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7901376485824585,586.2784564495087
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7605353593826294,420.8604609966278
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7827865481376648,567.0160930156708
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7874577045440674,309.0238597393036
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7433400750160217,638.3515350818634
wikimath,STGCN,0.3,rand,8,12,linear,50,0.8098317384719849,432.2535924911499
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7880776524543762,590.5381999015808
wikimath,STGCN,0.3,rand,8,12,linear,50,0.8026699423789978,295.3135643005371
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7871339321136475,632.6665177345276
wikimath,STGCN,0.3,rand,8,12,linear,50,0.8305732011795044,405.2820734977722
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7546042799949646,563.6800835132599
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7644238471984863,342.5586063861847
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.8120090961456299,620.0304386615753
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7775624394416809,424.1861181259155
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7600756287574768,589.5482323169708
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7930805683135986,299.88459515571594
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.8040241599082947,727.9902994632721
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7647449374198914,535.7099940776825
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7717613577842712,751.2564778327942
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7546315789222717,472.3406472206116
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7531761527061462,905.0961067676544
wikimath,STGCN,0.3,rand,8,12,linear,50,0.8261725902557373,504.2004005908966
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7376997470855713,677.2918808460236
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7828388214111328,452.7526345252991
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7732732892036438,631.010214805603
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7656834125518799,356.942702293396
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.8015673756599426,619.7762088775635
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7854822278022766,480.4096727371216
