dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7905871868133545,241.6777265071869
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8234201073646545,583.6142919063568
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8021792769432068,401.1805312633514
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.790224552154541,554.2566130161285
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8773496747016907,291.2179250717163
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8303589224815369,646.5470495223999
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.829113781452179,285.04522728919983
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7952473163604736,610.7230274677277
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7950310111045837,444.0236551761627
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8216270208358765,618.0064508914948
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.9026157855987548,215.44102025032043
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7791075110435486,570.3296191692352
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.816946268081665,533.3208425045013
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7707908749580383,602.5682225227356
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8102325201034546,208.04173398017883
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8335831761360168,615.1996576786041
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8100892901420593,469.51166701316833
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8313325643539429,557.5626082420349
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8117169141769409,279.7780182361603
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8270086050033569,639.3159618377686
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8107759356498718,326.4169371128082
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7689447999000549,548.2065167427063
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7658153772354126,366.4235796928406
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8228083252906799,577.8815529346466
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8093719482421875,285.04409432411194
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7430500984191895,550.8373849391937
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8174336552619934,407.7830274105072
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7615376114845276,587.4262387752533
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7851921319961548,228.99021339416504
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7941880226135254,553.8251264095306
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8375490307807922,427.01403737068176
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7664564251899719,555.7582542896271
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8502354025840759,279.0148243904114
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.81170654296875,588.8190116882324
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8144221901893616,360.8096899986267
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7912312746047974,581.9176244735718
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8289414644241333,398.2385091781616
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8135793209075928,641.1986970901489
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7877364754676819,356.7261371612549
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8138335347175598,593.4857265949249
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8678399324417114,363.0456907749176
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8228408098220825,610.5115106105804
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8224401473999023,292.1751742362976
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.8421192169189453,601.9686801433563
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8492066264152527,415.3549549579621
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7598187923431396,618.896276473999
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8133388161659241,302.26116609573364
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7517110109329224,554.8801667690277
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8358659744262695,448.3889017105103
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7867071032524109,617.7582895755768
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.8210024237632751,191.6298167705536
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.7540002465248108,609.9587614536285
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7614666819572449,510.2713632583618
