dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.8,rand,4,12,nearest,50,4.111921787261963,54.58179903030396
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.645538091659546,152.25563955307007
monte,STGCN,0.8,rand,4,12,nearest,50,2.552284479141236,85.5447781085968
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.6418230533599854,289.9416127204895
monte,STGCN,0.8,rand,4,12,nearest,50,1.1509145498275757,84.34332299232483
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.002162218093872,179.8008258342743
monte,STGCN,0.8,rand,4,12,nearest,50,1.9678891897201536,51.34438705444336
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.476883888244629,285.4232535362244
monte,STGCN,0.8,rand,4,12,nearest,50,3.080598831176758,86.51654362678528
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.14324164390564,236.6993727684021
monte,STGCN,0.8,rand,4,12,nearest,50,3.428169012069702,50.46765351295471
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.795311450958252,244.1392674446106
monte,STGCN,0.8,rand,4,12,nearest,50,1.8212013244628904,82.81536674499512
monte,IT-STGCN,0.8,rand,4,12,nearest,50,3.2852818965911865,270.13046503067017
monte,STGCN,0.8,rand,4,12,nearest,50,2.825047254562378,61.92219114303589
monte,IT-STGCN,0.8,rand,4,12,nearest,50,3.0993192195892334,222.2054274082184
monte,STGCN,0.8,rand,4,12,nearest,50,1.810633897781372,91.2527163028717
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.318660020828247,279.4429860115051
monte,STGCN,0.8,rand,4,12,nearest,50,2.728921175003052,57.59433555603027
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.725039482116699,191.79823899269104
monte,STGCN,0.8,rand,4,12,nearest,50,1.945391297340393,76.84931540489197
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.494615316390991,290.8585081100464
monte,STGCN,0.8,rand,4,12,nearest,50,2.9381887912750244,70.3146903514862
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.637552499771118,190.7791464328766
monte,STGCN,0.8,rand,4,12,nearest,50,3.530692338943481,76.3560962677002
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.8274439573287964,280.5945506095886
monte,STGCN,0.8,rand,4,12,nearest,50,2.8592429161071777,80.41425275802612
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.7861894369125366,217.62604236602783
monte,STGCN,0.8,rand,4,12,nearest,50,2.4359309673309326,52.76840543746948
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.260692834854126,276.2874343395233
monte,STGCN,0.8,rand,4,12,nearest,50,2.032827138900757,80.27734708786011
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.258863687515259,251.51612901687625
monte,STGCN,0.8,rand,4,12,nearest,50,2.4921364784240723,56.56912541389465
monte,IT-STGCN,0.8,rand,4,12,nearest,50,3.1531763076782227,214.56451845169067
monte,STGCN,0.8,rand,4,12,nearest,50,3.038704633712769,91.6452136039734
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.9277124404907229,276.8429410457611
monte,STGCN,0.8,rand,4,12,nearest,50,2.864349365234375,58.8702085018158
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.594549536705017,179.14261054992676
monte,STGCN,0.8,rand,4,12,nearest,50,2.2124927043914795,78.49346899986267
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.284665822982788,296.10536217689514
monte,STGCN,0.8,rand,4,12,nearest,50,1.9851162433624268,70.87904715538025
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.523121833801269,181.95708751678467
monte,STGCN,0.8,rand,4,12,nearest,50,3.248013734817505,73.7088234424591
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.505170583724976,286.09200382232666
monte,STGCN,0.8,rand,4,12,nearest,50,3.344113111495972,85.36532139778137
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.7877743244171145,217.41452169418332
monte,STGCN,0.8,rand,4,12,nearest,50,3.508315086364746,51.6814980506897
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.1633734703063965,252.64174389839167
monte,STGCN,0.8,rand,4,12,nearest,50,1.4014084339141846,86.54758644104004
monte,IT-STGCN,0.8,rand,4,12,nearest,50,2.2585883140563965,259.12564635276794
