dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.0,,4,2,,50,1.261513113975525,1.2938494682312012
pedalme,STGCN,0.0,,4,2,,50,1.2122247219085691,1.2129275798797607
pedalme,STGCN,0.3,rand,4,2,linear,50,1.3576037883758545,1.2874715328216553
pedalme,STGCN,0.3,rand,4,2,nearest,50,1.2187831401824951,1.5180816650390625
pedalme,STGCN,0.6,rand,4,2,linear,50,1.272592544555664,1.512095928192139
pedalme,STGCN,0.6,rand,4,2,nearest,50,1.2246440649032593,1.5047647953033447
pedalme,IT-STGCN,0.0,,4,2,,50,1.160126805305481,2.4090330600738525
pedalme,IT-STGCN,0.0,,4,2,,50,1.192754149436951,2.408652782440185
pedalme,IT-STGCN,0.3,rand,4,2,linear,50,1.2655820846557615,2.4169278144836426
pedalme,IT-STGCN,0.3,rand,4,2,nearest,50,1.2340890169143677,2.461928367614746
pedalme,IT-STGCN,0.6,rand,4,2,linear,50,1.274893045425415,2.4913485050201416
pedalme,IT-STGCN,0.6,rand,4,2,nearest,50,1.155726432800293,2.506486654281616
pedalme,STGCN,0.0,,4,2,,50,1.220484972000122,1.5475809574127195
pedalme,STGCN,0.0,,4,2,,50,1.1479039192199707,1.5449836254119873
pedalme,STGCN,0.3,rand,4,2,linear,50,1.2339470386505127,1.539914608001709
pedalme,STGCN,0.3,rand,4,2,nearest,50,1.252232313156128,1.5395469665527344
pedalme,STGCN,0.6,rand,4,2,linear,50,1.2944693565368652,1.5457022190093994
pedalme,STGCN,0.6,rand,4,2,nearest,50,1.3083860874176023,1.541522741317749
pedalme,IT-STGCN,0.0,,4,2,,50,1.167760968208313,2.48762845993042
pedalme,IT-STGCN,0.0,,4,2,,50,1.1725462675094604,2.469813823699951
pedalme,IT-STGCN,0.3,rand,4,2,linear,50,1.254322171211243,2.479196548461914
pedalme,IT-STGCN,0.3,rand,4,2,nearest,50,1.201449990272522,2.541046380996704
pedalme,IT-STGCN,0.6,rand,4,2,linear,50,1.2838056087493896,2.5481348037719727
pedalme,IT-STGCN,0.6,rand,4,2,nearest,50,1.2465156316757202,2.582325935363769
pedalme,STGCN,0.0,,4,2,,50,1.2633506059646606,1.5630300045013428
pedalme,STGCN,0.0,,4,2,,50,1.2229490280151367,1.5595698356628418
pedalme,STGCN,0.3,rand,4,2,linear,50,1.2092393636703491,1.569119215011597
pedalme,STGCN,0.3,rand,4,2,nearest,50,1.229055881500244,1.5772590637207031
pedalme,STGCN,0.6,rand,4,2,linear,50,1.161224126815796,1.5758824348449707
pedalme,STGCN,0.6,rand,4,2,nearest,50,1.3430739641189575,1.562302589416504
pedalme,IT-STGCN,0.0,,4,2,,50,1.1759521961212158,2.5082807540893555
pedalme,IT-STGCN,0.0,,4,2,,50,1.177237868309021,2.5303988456726074
pedalme,IT-STGCN,0.3,rand,4,2,linear,50,1.2361987829208374,2.54440975189209
pedalme,IT-STGCN,0.3,rand,4,2,nearest,50,1.1894055604934692,2.5194499492645264
pedalme,IT-STGCN,0.6,rand,4,2,linear,50,1.248562216758728,2.524879217147827
pedalme,IT-STGCN,0.6,rand,4,2,nearest,50,1.2495821714401243,2.511382818222046
pedalme,STGCN,0.0,,4,2,,50,1.2165580987930298,1.5661993026733398
pedalme,STGCN,0.0,,4,2,,50,1.2115941047668457,1.5668494701385498
pedalme,STGCN,0.3,rand,4,2,linear,50,1.2277425527572632,1.5669059753417969
pedalme,STGCN,0.3,rand,4,2,nearest,50,1.2022701501846311,1.558640956878662
pedalme,STGCN,0.6,rand,4,2,linear,50,1.3072624206542969,1.564821720123291
pedalme,STGCN,0.6,rand,4,2,nearest,50,1.2252050638198853,1.5639708042144775
pedalme,IT-STGCN,0.0,,4,2,,50,1.2139912843704224,2.508432626724243
pedalme,IT-STGCN,0.0,,4,2,,50,1.256622314453125,2.5120551586151123
pedalme,IT-STGCN,0.3,rand,4,2,linear,50,1.211317777633667,2.510164737701416
pedalme,IT-STGCN,0.3,rand,4,2,nearest,50,1.196603775024414,2.6277952194213867
pedalme,IT-STGCN,0.6,rand,4,2,linear,50,1.2628412246704102,3.677960395812988
pedalme,IT-STGCN,0.6,rand,4,2,nearest,50,1.2600847482681274,3.228123188018799
pedalme,STGCN,0.0,,4,2,,50,1.2714080810546875,2.0698788166046143
pedalme,STGCN,0.0,,4,2,,50,1.1725349426269531,2.1206443309783936
pedalme,STGCN,0.3,rand,4,2,linear,50,1.391700267791748,2.3816709518432617
pedalme,STGCN,0.3,rand,4,2,nearest,50,1.2026479244232178,2.135964155197144
