dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7597922086715698,268.95544838905334
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7374783754348755,395.8750476837158
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7495359778404236,179.7995309829712
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7456682324409485,436.6026005744934
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7494165301322937,188.2890150547028
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7658905982971191,437.3958506584168
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7215985655784607,318.9027142524719
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7383109927177429,453.8021438121796
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7933059930801392,181.87883830070496
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7409600615501404,423.7974855899811
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7189468145370483,189.9241087436676
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7274356484413147,375.6319098472595
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7546700239181519,308.7204065322876
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7284504175186157,557.9545962810516
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7719375491142273,236.2101392745972
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7335458993911743,528.3069522380829
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7127364873886108,375.5317826271057
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7272207140922546,530.0822336673737
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7241021990776062,224.77489137649536
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7287737131118774,567.5088913440704
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7137153744697571,341.26877212524414
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7520478367805481,501.9123337268829
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7144116163253784,304.7027750015259
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7289453148841858,553.985137462616
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7406499981880188,250.21808624267575
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7644357681274414,555.8923132419586
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7593668103218079,355.9443843364716
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7432829737663269,571.1386902332306
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7593547701835632,250.8124256134033
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7390646934509277,553.0324087142944
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7525113224983215,351.05037117004395
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7150938510894775,548.0876309871674
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7416902780532837,260.90823316574097
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7323232889175415,552.6586487293243
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7395035028457642,327.4213786125183
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7483183145523071,554.040534734726
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7476180195808411,279.2544672489166
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.700518786907196,556.3524122238159
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7208243608474731,307.28826880455017
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7618517279624939,533.245646238327
wikimath,STGCN,0.3,rand,8,12,linear,50,0.757513701915741,327.1370797157288
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7202075123786926,533.7976059913635
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7272801995277405,246.23289275169373
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7164042592048645,573.0738406181335
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7676706910133362,327.9268159866333
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7579817175865173,520.5919380187988
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7375461459159851,340.41279697418213
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7179027795791626,582.7000315189362
wikimath,STGCN,0.3,rand,8,12,linear,50,0.8139770030975342,254.4100539684296
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7543208599090576,534.5550630092621
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7272267937660217,348.3170228004456
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7380023002624512,542.5088193416595
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7284141182899475,232.5108995437622
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7391684651374817,545.359424829483
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7270839810371399,357.11464071273804
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.785504162311554,487.98592877388
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7388856410980225,337.07180762290955
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7195214629173279,570.9555008411407
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7196542620658875,155.11827397346497
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7313215732574463,572.1743993759155
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8975170254707336,291.6326673030853
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7558222413063049,410.13945269584656
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7932191491127014,421.6619300842285
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7788493037223816,494.997317314148
wikimath,STGCN,0.8,rand,8,12,linear,50,0.881287157535553,190.1927511692047
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7934927344322205,507.4399354457855
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8172138333320618,197.7842650413513
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7297293543815613,495.1174323558808
wikimath,STGCN,0.8,rand,8,12,linear,50,0.9003292322158813,329.42444348335266
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7683292627334595,463.3525800704956
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8232983350753784,261.1336317062378
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7965875864028931,511.6705713272095
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8732744455337524,192.15711379051208
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7649363279342651,501.2984299659729
wikimath,STGCN,0.8,rand,8,12,linear,50,0.9330641627311708,317.2601144313812
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7849629521369934,448.1317014694214
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8559368252754211,284.7325670719147
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.8191792368888855,513.7768640518188
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8904120326042175,197.7673139572144
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7736285924911499,574.1278128623962
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8657658696174622,312.9187388420105
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7705980539321899,569.4140214920044
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8639650344848633,306.39726090431213
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7755572199821472,560.6718764305115
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8428881168365479,158.7956428527832
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7611347436904907,413.42597484588623
wikimath,STGCN,0.8,rand,8,12,linear,50,0.813313364982605,220.37595224380493
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7549663186073303,366.222888469696
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8958607912063599,243.2921137809753
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.8024114370346069,416.04304337501526
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8232780694961548,138.00031638145447
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7711417078971863,408.5876922607422
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7879406809806824,273.65372490882874
