dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2538635730743408,2.914224624633789
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3020195960998535,3.10823655128479
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2470543384552002,3.237030267715454
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.205629587173462,3.263716459274292
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.0705788135528564,20.96335792541504
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2430853843688965,20.67906498908997
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.227385640144348,18.96318006515503
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.208306908607483,18.859734058380127
pedalme,STGCN,0.3,rand,4,12,linear,50,1.214147448539734,2.684286594390869
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2487025260925293,2.703818798065185
pedalme,STGCN,0.6,rand,4,12,linear,50,1.236547589302063,2.9292221069335938
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.1919739246368408,2.951582670211792
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3125325441360474,18.009051084518433
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2414257526397705,17.06615161895752
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2682013511657717,13.793859243392944
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.298938512802124,13.62925100326538
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2205063104629517,2.3248469829559326
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.197426438331604,2.369500160217285
pedalme,STGCN,0.6,rand,4,12,linear,50,1.272228479385376,2.351189374923706
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.25916588306427,2.381727695465088
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2986605167388916,13.637578964233398
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1237965822219849,14.65071964263916
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3524361848831177,16.322853803634644
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.268704175949097,12.074389219284058
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2141900062561035,2.096023797988892
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2595767974853516,1.9221088886260984
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2836616039276123,1.9934473037719729
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2705535888671875,2.362083911895752
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.192994475364685,9.62465524673462
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1679288148880005,11.907384634017944
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2817630767822266,9.74074649810791
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2610796689987185,7.418220281600952
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2105841636657717,1.8507258892059328
