dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2290786504745483,4.336901903152466
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2289189100265503,4.451310396194458
pedalme,STGCN,0.6,rand,4,4,linear,50,1.2512041330337524,4.552740097045898
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.311381220817566,4.509659051895142
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1472963094711304,35.2583167552948
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.225588321685791,25.698494911193848
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.069053053855896,30.62890839576721
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.186033844947815,28.995646953582764
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2027297019958496,3.684999227523804
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.206295132637024,3.6788198947906494
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3254903554916382,3.6061854362487793
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3069243431091309,3.806232690811157
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1789257526397705,30.572286128997803
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.1681081056594849,29.895873308181763
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.24284029006958,27.35726809501648
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2248172760009766,29.568862438201904
pedalme,STGCN,0.3,rand,4,4,linear,50,1.3133504390716553,3.709213972091675
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2714086771011353,3.649038314819336
pedalme,STGCN,0.6,rand,4,4,linear,50,1.3268444538116455,3.439432144165039
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.436271071434021,3.3959879875183105
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1498030424118042,15.418006658554075
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.2397209405899048,14.887129545211792
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.343026638031006,14.834401607513428
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2038136720657349,14.988197326660156
pedalme,STGCN,0.3,rand,4,4,linear,50,1.271603226661682,3.517270088195801
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2717021703720093,3.4171853065490723
pedalme,STGCN,0.6,rand,4,4,linear,50,1.2979735136032104,3.4495716094970703
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.24206805229187,3.4494645595550537
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2503408193588257,14.850131273269652
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.1507500410079956,15.351711750030518
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.336580514907837,15.632074117660522
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.1894545555114746,15.061547040939333
pedalme,STGCN,0.3,rand,4,4,linear,50,1.277940034866333,3.4635040760040283
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2821978330612185,3.3897225856781006
pedalme,STGCN,0.6,rand,4,4,linear,50,1.4266715049743652,3.667109489440918
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3525310754776,4.059006452560425
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2121957540512085,15.641071557998655
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.211790680885315,14.603753566741943
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2805521488189695,14.416661500930786
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2803947925567627,15.628597259521484
pedalme,STGCN,0.3,rand,4,4,linear,50,1.289470911026001,3.4127838611602783
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.1629881858825684,3.416252374649048
pedalme,STGCN,0.6,rand,4,4,linear,50,1.4059659242630005,3.44398045539856
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3570791482925415,3.48707914352417
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1180943250656128,15.872859954833984
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.250518798828125,15.07262921333313
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2680175304412842,15.934571743011476
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.1768267154693604,15.437618255615234
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2332909107208252,3.461481809616089
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2623099088668823,3.479764461517334
pedalme,STGCN,0.6,rand,4,4,linear,50,1.387226104736328,3.497354030609131
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.3612940311431885,3.470679998397827
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.1846381425857544,14.90007209777832
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.223361253738403,30.97979164123535
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.2563576698303225,54.97849464416504
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.238664627075195,26.90350317955017
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2494466304779053,3.646715879440308
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.2412426471710205,3.954154491424561
pedalme,STGCN,0.6,rand,4,4,linear,50,1.390148639678955,3.620090961456299
pedalme,STGCN,0.6,rand,4,4,nearest,50,1.2410863637924194,3.5613858699798584
pedalme,IT-STGCN,0.3,rand,4,4,linear,50,1.2303873300552368,29.04989624023437
pedalme,IT-STGCN,0.3,rand,4,4,nearest,50,1.1751787662506104,26.31134605407715
pedalme,IT-STGCN,0.6,rand,4,4,linear,50,1.1906719207763672,27.164831161499023
pedalme,IT-STGCN,0.6,rand,4,4,nearest,50,1.2824549674987793,26.48298406600952
pedalme,STGCN,0.3,rand,4,4,linear,50,1.2602888345718384,3.583527088165283
pedalme,STGCN,0.3,rand,4,4,nearest,50,1.247929334640503,3.542667388916016
pedalme,STGCN,0.6,rand,4,4,linear,50,1.36664080619812,3.5372774600982666
