dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1779959201812744,22.6570372581482
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.117871880531311,23.490053415298465
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1454038619995115,27.25667095184326
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2570501565933228,27.94630241394043
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.146650314331055,22.694942712783813
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.066866159439087,22.99922490119934
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.066999077796936,28.561811208724976
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.111251711845398,29.08516383171081
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1772911548614502,22.650331020355225
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.15027117729187,20.060157537460327
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.0999178886413574,27.95155429840088
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.0742932558059692,24.8707811832428
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1514431238174438,19.136632680892944
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.153348684310913,19.45186853408813
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.139415621757507,25.55534863471985
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.0857406854629517,22.73679804801941
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.16083025932312,17.305304288864136
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.0950236320495603,19.203373670578003
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.080960750579834,22.461345195770264
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1417938470840454,22.47478580474853
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1901917457580566,19.882615089416504
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1073991060256958,16.835387468338013
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1911174058914185,23.3147041797638
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.0830931663513184,27.030309915542603
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.3205170631408691,23.93562340736389
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.0903338193893433,22.909945726394653
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1246745586395264,27.65100169181824
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.091639280319214,28.120404481887817
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1567952632904053,24.27806186676025
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1656795740127563,24.00215125083924
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2201836109161377,30.90123295783997
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.0959900617599487,30.7731294631958
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.135861039161682,24.458149433135983
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1346888542175293,23.742292642593384
