dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,12,linear,50,1.5297386646270752,3.6163623332977295
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.5789116621017456,3.692095518112183
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2518136501312256,3.7644429206848153
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.3497750759124756,4.174224138259888
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.5842210054397583,50.31051826477051
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2539819478988647,21.64602828025818
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.1288785934448242,24.70228123664856
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2283014059066772,20.841588497161865
pedalme,STGCN,0.3,rand,4,12,linear,50,1.216569900512695,4.003993272781372
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3877720832824707,4.241514682769775
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2830984592437744,4.425926685333252
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.3279274702072144,4.339073657989502
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3187507390975952,23.07754349708557
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.172567367553711,21.59803414344788
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2467459440231323,19.58938837051392
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.1510056257247925,21.37930417060852
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2027004957199097,4.02143120765686
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2861121892929075,4.068703413009644
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2169381380081177,4.117593288421631
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.5729330778121948,4.180727005004883
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3769595623016355,19.06648731231689
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.233493447303772,19.17513108253479
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3462237119674685,31.870380401611328
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3875832557678225,22.993736505508423
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2071360349655151,3.983463048934937
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.181782841682434,3.930775165557861
pedalme,STGCN,0.6,rand,4,12,linear,50,1.4047698974609375,4.00883936882019
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2928318977355957,3.94367241859436
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3571045398712158,25.38820600509644
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2839148044586182,26.64727783203125
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2406822443008425,27.436054229736328
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2779521942138672,29.32286715507508
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2941906452178955,3.923948287963867
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2117468118667605,4.032572746276856
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2326442003250122,3.9869327545166016
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.255926489830017,4.020709991455078
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.513832449913025,20.41686511039734
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2283655405044556,13.684046745300291
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.299223780632019,13.401711702346802
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3198174238204956,12.889318943023682
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2318100929260254,3.218703269958496
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.445418119430542,3.267590045928955
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3744113445281982,3.889004230499268
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.197258710861206,4.09264874458313
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3418855667114258,14.682621955871582
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3105628490447998,13.182114124298096
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2988156080245972,13.122804880142212
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.128903031349182,12.937110185623167
pedalme,STGCN,0.3,rand,4,12,linear,50,1.4640456438064575,3.178828954696656
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2389037609100342,3.204561471939087
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2766488790512085,3.2235684394836426
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.217109203338623,3.28059720993042
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3192322254180908,12.173960208892822
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.4004223346710205,10.707352638244627
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.358243107795715,10.58336591720581
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.335641860961914,8.341094732284546
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3013854026794434,2.3675215244293213
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.1933832168579102,2.468141794204712
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2079216241836548,2.6238582134246826
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.3089359998703003,2.639914035797119
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.288077473640442,8.283942461013794
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1861870288848877,8.730101585388184
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2054991722106934,8.712760210037231
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2482279539108276,9.588693857192991
pedalme,STGCN,0.3,rand,4,12,linear,50,1.1644325256347656,3.425326108932495
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3385215997695925,2.6567556858062744
pedalme,STGCN,0.6,rand,4,12,linear,50,1.344167709350586,2.7424685955047607
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2566874027252195,2.629955530166626
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.35897958278656,10.338912963867188
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2561440467834473,9.029499530792236
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3769019842147827,8.764108419418335
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.255228042602539,7.856775283813477
