dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2018191814422607,4.417721509933472
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2473726272583008,4.266048908233643
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1593854427337646,13.49137282371521
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.387894868850708,13.952682495117188
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.184990644454956,3.59782338142395
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2256234884262085,3.622192621231079
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1317857503890991,14.14107084274292
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.2237682342529297,13.668116331100464
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2167887687683103,3.616019487380981
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2354320287704468,3.553306818008423
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.14166259765625,14.711236953735352
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.1942346096038818,15.997696161270142
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2747914791107178,3.5175905227661133
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.1049073934555054,3.647062063217163
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2538152933120728,14.659685850143433
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.071897029876709,14.87787675857544
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2352997064590454,3.5809226036071777
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2444961071014404,3.560469388961792
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.127982258796692,14.828773498535156
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.2051759958267212,15.504567384719849
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.246279001235962,3.512909173965454
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.1617730855941772,3.589531421661377
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1919125318527222,13.225576639175417
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.102953553199768,13.925955057144163
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2770166397094729,3.976871728897095
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.1435518264770508,4.044384717941284
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1815557479858398,15.303146839141846
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.1422628164291382,14.807359218597412
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.15236496925354,3.840242624282837
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2783666849136353,3.879101514816284
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1781272888183594,13.768309116363524
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.1822986602783203,14.946998834609984
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.249600529670715,3.517414093017578
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.273389220237732,3.4781174659729004
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.195457935333252,14.186551332473757
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.3317853212356567,61.73566913604736
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2256159782409668,3.858403205871582
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2414625883102417,3.889724969863892
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1904382705688477,29.203789234161377
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.1072243452072144,27.789613008499146
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.234150528907776,4.242038249969482
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.206234097480774,4.104504823684692
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2212451696395874,30.39060664176941
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.174172282218933,26.255061864852905
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2755341529846191,4.000095844268799
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.216601848602295,3.920344352722168
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1504020690917969,25.937403202056885
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.1740641593933103,25.541157007217407
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.1642059087753296,3.9361414909362793
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2462151050567627,3.686852216720581
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1302226781845093,23.25864839553833
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.2179855108261108,23.956008195877075
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2663187980651855,3.9405710697174072
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.1773557662963867,4.020698308944702
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1161367893218994,25.957554578781128
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.1823387145996094,23.01521396636963
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2907713651657104,3.990397691726685
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2038530111312866,3.862439155578613
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1968342065811155,37.782175064086914
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.193950891494751,27.63978481292725
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2113354206085205,4.197028160095215
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.194934964179993,3.898028612136841
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.3972420692443848,26.488401651382446
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.193613886833191,29.38283634185791
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2751798629760742,3.880747079849243
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2520517110824585,3.692618370056152
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2209076881408691,31.4091112613678
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.145932674407959,32.79918456077576
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.3294745683670044,3.792978286743164
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.2781213521957395,3.740727186203003
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1710941791534424,29.24017548561096
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.1908560991287231,28.49754285812378
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.1732836961746216,3.851077318191528
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.23723304271698,3.597476959228516
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.181005835533142,16.033082246780396
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.1666046380996704,13.867542505264282
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.2463287115097046,3.413654088973999
pedalme,STGCN,0.2857142857142857,block,4,12,nearest,50,1.276687741279602,3.442087888717652
pedalme,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.184827208518982,30.47264838218689
pedalme,IT-STGCN,0.2857142857142857,block,4,12,nearest,50,1.0792127847671509,30.252168655395508
pedalme,STGCN,0.2857142857142857,block,4,12,linear,50,1.418773531913757,3.646467447280884
