dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7135009765625,818.1393432617188
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6395670771598816,757.6112840175629
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6699650287628174,553.7874774932861
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6147363185882568,705.2371287345886
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7145411968231201,606.1545653343201
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6268623471260071,712.9048669338226
wikimath,STGCN,0.3,rand,8,64,linear,50,0.672327995300293,605.2429389953613
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6410247087478638,758.1839056015015
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6819596886634827,742.4644529819489
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6036566495895386,1273.695816040039
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6398665308952332,568.5589978694916
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6158618927001953,1069.4502391815186
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6515041589736938,736.8217468261719
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.603024423122406,900.9793057441713
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6653251647949219,784.8885705471039
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6298683285713196,911.2317526340483
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6552034616470337,776.9244508743286
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6286389231681824,1119.1526260375977
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6585255265235901,645.0924851894379
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6157851815223694,1164.3165066242218
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7018372416496277,782.6040232181549
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6197158098220825,885.9340918064117
wikimath,STGCN,0.3,rand,8,64,linear,50,0.693371593952179,741.138133764267
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6402468085289001,892.764942407608
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6857661604881287,744.2917425632477
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6162996888160706,1033.1486339569092
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6403351426124573,565.305436372757
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6177166104316711,1108.1149756908417
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6799494624137878,458.4527060985565
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6667448878288269,1248.9494442939758
wikimath,STGCN,0.3,rand,8,64,linear,50,0.67872554063797,667.5179717540741
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6275792717933655,967.4647159576416
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6619051694869995,767.448826789856
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6173367500305176,903.7817211151124
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6849794387817383,759.0909554958344
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.622521698474884,1047.0585613250732
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6458669304847717,401.00926303863525
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6561934947967529,836.3641123771667
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6848321557044983,532.7036633491516
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6182987689971924,1042.3494861125946
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6557220816612244,736.791540145874
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6424773931503296,1176.2242758274078
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6766664385795593,1175.9540803432465
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.655179500579834,1460.1847748756409
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6544995307922363,1131.2066073417664
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6023867130279541,1240.4335386753082
wikimath,STGCN,0.3,rand,8,64,linear,50,0.675861656665802,1157.0254471302032
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6049330830574036,1314.4631791114807
wikimath,STGCN,0.3,rand,8,64,linear,50,0.694767951965332,898.9244751930237
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6204712390899658,1302.6384918689728
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6822552680969238,775.6161551475525
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6581092476844788,922.1832370758056
wikimath,STGCN,0.3,rand,8,64,linear,50,0.647217869758606,731.6532320976257
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6056098341941833,1061.1011176109314
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6660929918289185,998.559672832489
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6727333068847656,873.7183825969696
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6959506869316101,1100.6595690250397
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6501655578613281,1156.5124292373655
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6800026297569275,930.8813433647156
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6149714589118958,1363.8816356658936
wikimath,STGCN,0.8,rand,8,64,linear,50,1.3722121715545654,553.4583647251129
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7745294570922852,889.6187393665314
wikimath,STGCN,0.8,rand,8,64,linear,50,1.5623953342437744,631.8893511295319
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8044965863227844,847.1211907863617
wikimath,STGCN,0.8,rand,8,64,linear,50,1.258025884628296,634.3559999465942
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7513867616653442,957.2677001953124
wikimath,STGCN,0.8,rand,8,64,linear,50,1.3973073959350586,505.7814495563507
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8413674831390381,1034.1726706027985
wikimath,STGCN,0.8,rand,8,64,linear,50,1.4986252784729004,606.5631737709045
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.729904294013977,872.9935085773468
wikimath,STGCN,0.8,rand,8,64,linear,50,1.5309451818466189,660.5062098503113
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7716615200042725,854.5375118255615
wikimath,STGCN,0.8,rand,8,64,linear,50,1.5480468273162842,619.3026854991913
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8721994757652283,1018.2470381259918
wikimath,STGCN,0.8,rand,8,64,linear,50,1.371920824050903,590.5377893447876
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8966177105903625,941.7178461551666
wikimath,STGCN,0.8,rand,8,64,linear,50,1.2475661039352417,652.8316276073456
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8576039671897888,868.73064661026
wikimath,STGCN,0.8,rand,8,64,linear,50,1.5507054328918457,662.2222654819489
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8116594552993774,1008.2328495979308
wikimath,STGCN,0.8,rand,8,64,linear,50,1.4109718799591064,553.2217638492584
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7071868777275085,983.1931595802308
wikimath,STGCN,0.8,rand,8,64,linear,50,1.4341957569122314,663.4047839641571
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7877664566040039,871.7592930793762
wikimath,STGCN,0.8,rand,8,64,linear,50,1.3707484006881714,666.907947063446
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.813920259475708,948.0704529285432
wikimath,STGCN,0.8,rand,8,64,linear,50,1.3531639575958252,602.8100876808167
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8031367659568787,1021.0998938083648
wikimath,STGCN,0.8,rand,8,64,linear,50,1.3357094526290894,658.2636716365814
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7447081208229065,728.3759450912476
wikimath,STGCN,0.0,,8,64,,50,0.6326905488967896,453.9843332767487
wikimath,IT-STGCN,0.0,,8,64,,50,0.6705690622329712,615.4114100933075
wikimath,STGCN,0.0,,8,64,,50,0.6118783950805664,323.6713662147522
wikimath,IT-STGCN,0.0,,8,64,,50,0.6514832973480225,637.8761301040649
wikimath,STGCN,0.0,,8,64,,50,0.6740715503692627,344.5875041484833
