dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.7585057616233826,934.8753468990326
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6185500621795654,1010.7139048576356
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8848437666893005,559.6641149520874
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6280046105384827,939.2759747505188
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.7967314124107361,641.8506858348846
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6287295818328857,836.2146246433258
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.7774354219436646,694.5974659919739
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.61747145652771,976.6686177253724
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8106697201728821,578.323671579361
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6316924691200256,945.8820774555206
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.7644425630569458,650.6083722114563
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6202568411827087,874.3711693286896
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8923722505569458,673.5244650840759
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6097163558006287,890.2362477779388
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8403169512748718,605.9538910388947
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6292220950126648,1024.8508384227753
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.7630388736724854,590.1025581359863
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6400125026702881,931.7739672660828
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8663034439086914,642.0339834690094
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6121092438697815,861.6792683601379
wikimath,STGCN,0.8,rand,8,64,linear,50,1.550620436668396,817.9041159152985
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8438143730163574,826.7013754844666
wikimath,STGCN,0.8,rand,8,64,linear,50,1.4997732639312744,653.8573648929596
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7508630752563477,914.5792167186736
wikimath,STGCN,0.8,rand,8,64,linear,50,1.4466803073883057,562.9155488014221
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8098031878471375,988.6461896896362
wikimath,STGCN,0.8,rand,8,64,linear,50,1.3555420637130735,617.9424870014191
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8623692393302917,885.6774327754974
wikimath,STGCN,0.8,rand,8,64,linear,50,1.4837738275527954,673.4019634723663
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8110169172286987,840.9045808315277
wikimath,STGCN,0.8,rand,8,64,linear,50,1.1999671459197998,648.0409083366394
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8374994397163391,1007.9658184051514
wikimath,STGCN,0.8,rand,8,64,linear,50,1.3396614789962769,602.458906173706
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7919713854789734,973.9244980812072
wikimath,STGCN,0.8,rand,8,64,linear,50,1.4706178903579712,649.694155216217
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7899578809738159,890.2922978401184
wikimath,STGCN,0.8,rand,8,64,linear,50,1.5765281915664673,673.9461464881897
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8119154572486877,991.4177160263062
wikimath,STGCN,0.8,rand,8,64,linear,50,1.389348387718201,591.3646039962769
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8417349457740784,973.6117625236512
wikimath,STGCN,0.8,rand,8,64,linear,50,1.268936038017273,655.0218691825867
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8007709383964539,668.6635212898254
wikimath,STGCN,0.8,rand,8,64,linear,50,1.607972264289856,431.7156188488007
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8281075954437256,665.7463343143463
wikimath,STGCN,0.8,rand,8,64,linear,50,1.568134069442749,407.4896659851074
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.7987061142921448,656.3782074451447
wikimath,STGCN,0.8,rand,8,64,linear,50,1.3082886934280396,412.110356092453
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8761862516403198,659.3050904273987
wikimath,STGCN,0.8,rand,8,64,linear,50,1.5216985940933228,481.1994261741638
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,0.8189418315887451,987.454951286316
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8988831639289856,631.6795802116394
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6406422257423401,998.2595145702362
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8398415446281433,537.4189059734344
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6300291419029236,968.2564644813538
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8582671284675598,666.6975748538971
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6026816964149475,845.1548926830292
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8591429591178894,656.48481798172
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6216385960578918,970.721523284912
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.7935006022453308,571.1656520366669
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6115906834602356,1024.205052614212
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8413307666778564,635.278491973877
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.607588529586792,877.4738030433655
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.786808967590332,657.4638731479645
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6275414824485779,935.4168937206268
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.7620254755020142,562.9667596817017
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6010720729827881,1043.9231541156769
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.7656781673431396,605.0440278053284
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6261836290359497,910.834591627121
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.9174118041992188,667.9258522987366
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6301891803741455,933.5911011695862
