dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.8,rand,4,12,nearest,50,1.1911580562591553,606.2381453514099
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1491949558258057,808.3321647644043
monte,STGCN,0.8,rand,4,12,nearest,50,1.1155166625976562,632.823166847229
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.210569977760315,785.8937511444092
monte,STGCN,0.8,rand,4,12,nearest,50,1.1440523862838743,644.7230911254883
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.154530644416809,694.7204637527466
monte,STGCN,0.8,rand,4,12,nearest,50,1.1336445808410645,496.2851264476776
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1924248933792114,584.6062240600586
monte,STGCN,0.8,rand,4,12,nearest,50,1.0259569883346558,380.5090501308441
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.094186305999756,610.8630478382111
monte,STGCN,0.8,rand,4,12,nearest,50,1.1993016004562378,495.791234254837
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1464366912841797,616.3323607444763
monte,STGCN,0.8,rand,4,12,nearest,50,1.2102105617523191,351.7609248161316
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.097752809524536,507.3915202617645
monte,STGCN,0.8,rand,4,12,nearest,50,1.213576316833496,485.1366364955902
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.170035481452942,621.4734792709351
monte,STGCN,0.8,rand,4,12,nearest,50,1.1350504159927368,507.1012189388275
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0782078504562378,602.1149971485138
monte,STGCN,0.8,rand,4,12,nearest,50,0.9990218281745912,399.4510662555695
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.179729461669922,598.6090912818909
monte,STGCN,0.8,rand,4,12,nearest,50,1.145479679107666,578.7664709091187
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.2302204370498655,818.9793863296509
monte,STGCN,0.8,rand,4,12,nearest,50,1.2144190073013306,554.5032377243042
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.158164381980896,810.9870839118958
monte,STGCN,0.8,rand,4,12,nearest,50,1.0771136283874512,565.9909818172455
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.2608797550201416,774.8437285423279
monte,STGCN,0.8,rand,4,12,nearest,50,1.037365436553955,539.7415776252747
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0351413488388062,743.8313608169556
monte,STGCN,0.8,rand,4,12,nearest,50,1.2318824529647827,648.4824583530426
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1231809854507446,740.4871799945831
monte,STGCN,0.8,rand,4,12,nearest,50,1.1532511711120603,638.9419901371002
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.178386926651001,724.8016581535339
monte,STGCN,0.8,rand,4,12,nearest,50,1.222746968269348,460.690066576004
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1210806369781494,719.3991363048553
monte,STGCN,0.8,rand,4,12,nearest,50,1.0991969108581543,540.9961502552032
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1245830059051514,733.3151125907898
monte,STGCN,0.8,rand,4,12,nearest,50,1.0647178888320925,623.2949068546295
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.211079716682434,726.3521704673767
monte,STGCN,0.8,rand,4,12,nearest,50,1.063238501548767,553.4892468452454
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0879331827163696,752.018994808197
monte,STGCN,0.8,rand,4,12,nearest,50,1.0577552318572998,448.397262096405
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.239794135093689,724.0651483535767
monte,STGCN,0.8,rand,4,12,nearest,50,1.239383101463318,581.3539876937866
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1339845657348633,745.8251943588257
monte,STGCN,0.8,rand,4,12,nearest,50,1.1300827264785769,633.9910509586334
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1984126567840576,729.9936952590942
monte,STGCN,0.8,rand,4,12,nearest,50,1.1114749908447266,517.9148273468018
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1744625568389893,716.9076800346375
monte,STGCN,0.8,rand,4,12,nearest,50,1.0622210502624512,454.4742591381073
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0994501113891602,726.8949501514435
monte,STGCN,0.8,rand,4,12,nearest,50,1.173935055732727,630.6471061706543
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1295437812805176,731.4087834358215
monte,STGCN,0.8,rand,4,12,nearest,50,1.2243530750274658,648.8870124816895
