dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.0,,4,12,,50,1.178506851196289,6.968278408050537
pedalme,STGCN,0.0,,4,12,,50,1.23388934135437,6.963131904602051
pedalme,STGCN,0.3,rand,4,12,linear,50,1.25630521774292,7.763271570205688
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3681474924087524,6.6740381717681885
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5158040523529053,6.9233238697052
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.5569956302642822,6.9899444580078125
pedalme,IT-STGCN,0.0,,4,12,,50,1.2530438899993896,8.695898294448853
pedalme,IT-STGCN,0.0,,4,12,,50,1.2473863363265991,7.689221143722534
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3171274662017822,8.417527675628662
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2306809425354004,8.392107725143433
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.5187901258468628,8.076478481292725
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.5986992120742798,7.309301137924194
pedalme,STGCN,0.0,,4,12,,50,1.2844325304031372,6.17892336845398
pedalme,STGCN,0.0,,4,12,,50,1.2086920738220217,6.078756093978882
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2486357688903809,6.272947549819946
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3343716859817505,6.221886396408081
pedalme,STGCN,0.6,rand,4,12,linear,50,1.740206003189087,6.818273305892944
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.4387892484664917,5.953449726104736
pedalme,IT-STGCN,0.0,,4,12,,50,1.2744640111923218,7.91818380355835
pedalme,IT-STGCN,0.0,,4,12,,50,1.1666741371154783,8.26027250289917
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2618005275726318,8.319302320480347
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.236472249031067,8.112221956253052
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.4415106773376465,8.300853967666626
