dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7597963213920593,2150.013251543045
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6775020956993103,1583.8884737491608
wikimath,STGCN,0.3,rand,8,64,linear,50,0.8087440133094788,1387.1150765419006
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.636954665184021,1514.4353020191193
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7344563007354736,1693.5122878551483
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6373457312583923,2748.7978749275208
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7149142026901245,2524.3871705532074
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.637691855430603,2880.629017353058
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6791240572929382,2534.404680252075
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6134436726570129,2759.833242893219
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7513112425804138,2560.824837207794
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6217707991600037,2774.7119793891907
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6734995245933533,2640.909040927887
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6095088720321655,3094.3398818969727
wikimath,STGCN,0.3,rand,8,64,linear,50,0.845782995223999,3660.610408544541
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6031658053398132,2649.2334072589874
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7806882262229919,2087.424336671829
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6580376029014587,2766.238203048706
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7323787808418274,3786.825777053833
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6374542713165283,3592.0145611763
wikimath,STGCN,0.3,rand,8,64,linear,50,0.81388258934021,2777.9933421611786
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6274157166481018,3356.9593346118927
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7200010418891907,3074.962056875229
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6108690500259399,3299.711129426956
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7858150005340576,3325.7212047576904
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6258792281150818,3241.883071899414
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7798556685447693,3061.314512729645
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6496422290802002,3250.183006286621
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7640069127082825,2499.055067539215
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6607242822647095,2392.589954137802
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7262714505195618,2505.230954647064
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6259642243385315,3729.6308262348175
wikimath,STGCN,0.3,rand,8,64,linear,50,0.6672877669334412,3145.6552562713623
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6347317099571228,3495.8654248714447
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7308456897735596,3055.0059401988983
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6050810813903809,3294.7555220127106
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7778491973876953,3075.1822435855865
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6151660084724426,3290.0661432743077
wikimath,STGCN,0.3,rand,8,64,linear,50,0.792180061340332,3082.201385498047
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6239679455757141,3662.413395881653
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7846518158912659,2974.176037788391
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6453192830085754,2397.546149253845
wikimath,STGCN,0.3,rand,8,64,linear,50,0.8134101629257202,2093.087910890579
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6154463887214661,2359.8287575244904
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7286211848258972,2219.1778452396397
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6125874519348145,3273.9485750198364
wikimath,STGCN,0.3,rand,8,64,linear,50,0.861045777797699,2930.743628263473
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6201540231704712,3010.8736362457275
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7143904566764832,2752.613340616226
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6091386675834656,3172.508219957352
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7050741314888,2743.412415504456
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6418741345405579,2874.5512075424194
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7880980372428894,2846.7032113075256
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6413156390190125,3158.7943637371063
wikimath,STGCN,0.3,rand,8,64,linear,50,0.8750123977661133,2400.228054046631
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6691771745681763,2096.0002422332764
wikimath,STGCN,0.3,rand,8,64,linear,50,0.7362005114555359,1706.3877336978912
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6278709173202515,2127.5959107875824
wikimath,STGCN,0.3,rand,8,64,linear,50,0.8833617568016052,2267.204312324524
wikimath,IT-STGCN,0.3,rand,8,64,linear,50,0.6291102766990662,3278.707324981689
wikimath,STGCN,0.8,rand,8,64,linear,50,1.4496872425079346,3018.8568439483643
wikimath,IT-STGCN,0.8,rand,8,64,linear,50,1.015308856964111,4176.078874588013
wikimath,STGCN,0.8,rand,8,64,linear,50,1.2734205722808838,3264.721655368805
