dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8320428729057312,5584.905254840851
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6296365261077881,4686.553194761276
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.9881076216697692,4231.624777317047
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6723160147666931,4891.101595878601
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8421146273612976,4590.690097093582
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6373321413993835,4842.769134521484
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.9903901815414428,5096.134614229202
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6244608759880066,5541.191272258759
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,1.0300801992416382,5165.008671045303
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.7269357442855835,5620.142028808594
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8880174160003662,5210.342110872269
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6511081457138062,5340.220463514328
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.945749580860138,4954.14981508255
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6252063512802124,4841.448004484177
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8919512033462524,4271.898108482361
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6554674506187439,5200.39639377594
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.94572514295578,3446.9147753715515
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6583045721054077,3291.9221839904785
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,1.0169508457183838,2689.888709783554
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.71826171875,3778.449551582336
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.9173912405967712,3568.2307665348053
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6162192821502686,3398.164126634598
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.9443859457969666,3572.56534576416
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6363861560821533,3583.99361038208
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,1.099107027053833,2629.297795534134
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6206313967704773,3910.5546493530273
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8692082762718201,4248.326463222504
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6547675132751465,4384.769765615463
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.9704104661941528,3652.0654656887054
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.663882315158844,3130.2117512226105
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.9487873911857604,2731.387380838394
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6375805139541626,3088.221468687057
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,1.0460240840911863,3715.528316736221
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.7050887942314148,3759.33269739151
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.8532417416572571,3450.446938276291
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.7204778790473938,3241.3858964443207
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,0.9018092155456544,2688.0582268238068
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6677485704421997,4599.700247049332
wikimath,STGCN,0.5119453924914675,block,8,64,linear,50,1.269711971282959,4398.927354812622
wikimath,IT-STGCN,0.5119453924914675,block,8,64,linear,50,0.6480001211166382,4298.121708869934
