dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.4747520685195925,6081.530960559845
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.117027759552002,30600.46528816223
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.5705970525741575,6189.605512857437
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.2026646137237549,31607.60653090477
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6259145736694336,6130.966603040695
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.142159342765808,30735.604575395584
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6259145736694336,6130.966603040695
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.142159342765808,30735.604575395584
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6737807989120483,6103.990252494812
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1300408840179443,29979.950835943226
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.5617715120315552,6616.6617176532745
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1415202617645264,29063.854289531708
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6369781494140625,4114.091122865677
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.141804337501526,27928.28303337097
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.627753734588623,5373.049063444138
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.163898229598999,36297.85426592827
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.568667769432068,5563.515724420548
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1309083700180054,31705.601278305054
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6466270685195925,5033.542666435242
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.107062578201294,30629.750031232838
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6105512380599976,5769.85688829422
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1280478239059448,30506.02232313156
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.5667548179626465,5913.588505983353
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.132770299911499,26676.969531059265
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.70891535282135,4755.241366863251
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.161255121231079,23462.49148917198
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.5550084114074707,4759.914525032044
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1474796533584597,23331.15770339966
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6139776706695557,4841.1540648937225
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1168502569198608,30518.844219207764
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.523747444152832,6233.129953861237
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1729419231414795,31269.230923891068
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.5455739498138428,6249.186507463455
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1765698194503784,31406.168550491333
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6182397603988647,6203.206512928009
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1161155700683594,31831.192881822582
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.5709728002548218,6242.43230342865
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1294654607772827,31743.16202378273
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.645657300949097,6196.005796670914
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1426137685775757,35365.66796731949
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.608279824256897,7791.320318698883
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.138707160949707,31252.281048059464
windmillsmall,STGCN,0.0812907673198108,block,8,16,linear,50,0.9841995239257812,9018.257854223251
windmillsmall,IT-STGCN,0.0812907673198108,block,8,16,linear,50,0.9847782254219056,42614.36568284035
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.5799864530563354,6281.544786691666
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.143409252166748,33678.05547571182
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6050608158111572,6297.185983896256
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.156151533126831,29663.587681531902
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.640911340713501,4443.382544517517
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1244165897369385,15996.1734457016
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.4910844564437866,3386.036417245865
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1517751216888428,16017.254952669144
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.7296024560928345,3386.9163811206818
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.133378267288208,28272.43062877655
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.5837002992630005,5909.44269657135
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1426972150802612,29227.034430265427
windmillsmall,STGCN,0.0812907673198108,block,8,16,linear,50,0.9842666387557985,7387.054540634155
windmillsmall,IT-STGCN,0.0812907673198108,block,8,16,linear,50,0.9848092198371888,37444.97672319412
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.619353175163269,7195.5105311870575
windmillsmall,IT-STGCN,0.7,rand,8,16,linear,50,1.1165114641189575,36327.01941561699
windmillsmall,STGCN,0.0812907673198108,block,8,16,linear,50,0.9809464812278748,7118.749475479126
windmillsmall,IT-STGCN,0.0812907673198108,block,8,16,linear,50,0.9967475533485411,33316.95440411568
windmillsmall,STGCN,0.7,rand,8,16,linear,50,1.6089227199554443,6301.238102436066
