dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0617716312408447,113.93951511383057
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.6672486066818235,111.65079832077026
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.845404863357544,133.98948979377747
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.4675374031066897,102.45024371147156
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.1445975303649902,105.35271191596983
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.4616907835006714,121.7781286239624
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8980546593666077,160.7180244922638
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.2731558084487915,135.47407913208008
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0963914394378662,86.05492568016052
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.828182578086853,89.30186486244202
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8593367338180542,159.47611546516418
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.3596662282943726,158.31650972366333
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0408544540405271,110.67789149284364
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.4558004140853882,96.00209975242616
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8291053175926208,104.83976554870604
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.377226710319519,153.02157974243164
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.1172336339950562,119.80289030075072
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.7658971548080444,118.1383330821991
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.923659086227417,124.3155083656311
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.291877508163452,94.35478520393372
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.1051517724990845,120.3558030128479
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.796380639076233,116.7762541770935
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.990497887134552,158.39763569831848
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.318787932395935,139.44877290725708
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0642515420913696,88.92937588691711
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.5342748165130615,110.0013828277588
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8679991960525513,147.41058564186096
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.304491400718689,166.5645203590393
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0970633029937744,115.34474420547484
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.6837713718414309,93.1289083957672
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8352993130683899,136.56666254997253
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.3546119928359983,145.04134726524353
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0573161840438845,119.38162422180176
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.61745023727417,113.2755274772644
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8449819087982178,122.04137325286864
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.2689074277877808,137.5061638355255
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0503582954406738,120.65193629264832
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.5760210752487185,119.71981906890868
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8291744589805603,147.78061723709106
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.3649719953536987,116.3204755783081
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0881328582763672,121.0618975162506
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.5707322359085083,115.82425355911256
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8942673802375793,143.46509671211243
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.4046322107315063,139.9016923904419
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0884240865707395,111.69576978683472
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.702317714691162,109.67452073097228
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.8666207790374756,147.44889664649963
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.2602752447128296,106.2430591583252
chickenpox,STGCN,0.3,rand,4,8,linear,50,1.0764544010162354,125.9034481048584
chickenpox,STGCN,0.8,rand,4,8,linear,50,1.7734040021896362,116.64657831192017
chickenpox,IT-STGCN,0.3,rand,4,8,linear,50,0.852521538734436,142.6095747947693
chickenpox,IT-STGCN,0.8,rand,4,8,linear,50,1.3347398042678833,142.30688190460205
