dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2767962217330933,40.16934633255005
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.225361466407776,40.82063484191895
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2166765928268433,46.781073331832886
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2387149333953855,47.383079528808594
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.3069599866867063,45.05209302902222
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.1995590925216677,42.07122302055359
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.1910480260849,47.76646447181702
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.274747014045715,44.8125786781311
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2368451356887815,33.62380886077881
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.1810165643692017,31.341458082199097
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.3275245428085327,34.07485675811768
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2155362367630005,27.59740829467773
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2373108863830566,28.78151106834412
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2805224657058716,33.52390265464783
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2802009582519531,34.659865379333496
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2460750341415403,41.47938060760498
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.210047721862793,42.44481158256531
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.3121644258499146,41.79683876037598
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.3109692335128784,48.29379940032959
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2160866260528564,46.85853552818298
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2842081785202026,40.6885929107666
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2030919790267944,41.56250357627869
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2456729412078855,43.09493637084961
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.1925930976867676,45.37797498703003
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2679846286773682,40.22226238250733
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.3116421699523926,38.5352475643158
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2612046003341677,37.89472508430481
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.246455430984497,32.43471455574036
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2954566478729248,32.52861952781677
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2498128414154053,24.821091413497925
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.271571159362793,27.08685183525085
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2018874883651731,26.463040828704838
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2424311637878418,26.08814835548401
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.1929779052734375,40.67800569534302
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2135833501815796,47.857789754867554
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.1973979473114014,50.06296420097351
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.236782789230347,43.80964994430542
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2794607877731323,43.95237874984741
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.1966804265975952,46.28962826728821
