dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6982131004333496,323.3551073074341
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6169143915176392,645.581137418747
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7391830086708069,376.8304853439331
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6037615537643433,675.3504312038422
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6957606077194214,321.21762585639954
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.588830828666687,643.0064783096313
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6597028374671936,467.8688845634461
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6118876338005066,624.3565440177917
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6916993260383606,307.52356004714966
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6298529505729675,653.5245199203491
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6539103984832764,311.16571021080017
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6233829855918884,609.8744838237762
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6952929496765137,405.8472218513489
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6265172362327576,616.6108167171478
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6770905256271362,267.6723532676697
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.5872071385383606,744.8625702857971
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7032890319824219,473.8728706836701
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6370660662651062,672.5404419898987
wikimath,STGCN,0.3,rand,8,32,linear,50,0.66895592212677,556.967946767807
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6353914141654968,684.967533826828
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6538486480712891,528.6273143291473
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6049174666404724,675.8839702606201
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6567468643188477,178.7439160346985
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6193795800209045,691.660144329071
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7514471411705017,521.8585286140442
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6538037657737732,669.8463356494904
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6486474275588989,542.5378520488739
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6145433783531189,685.881888628006
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6902839541435242,374.2383768558502
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.5962202548980713,621.9297635555267
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6516914367675781,285.7971429824829
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6074387431144714,620.713005065918
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7535412907600403,467.3887524604797
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6192203760147095,413.3891670703888
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7082955837249756,236.47841215133667
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6086974740028381,401.78955578804016
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6509859561920166,229.26838040351868
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6035470962524414,415.3816318511963
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6872562170028687,236.0036747455597
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6355878710746765,402.1819758415222
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6490901708602905,275.14023900032043
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6045696139335632,461.0685429573059
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7057878375053406,182.83091616630557
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.621779203414917,540.6146738529205
wikimath,STGCN,0.3,rand,8,32,linear,50,0.66331547498703,528.7427606582642
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6529790759086609,802.0620260238647
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6996689438819885,308.01567816734314
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6315284371376038,832.8693294525146
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6915887594223022,350.7768473625183
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6407081484794617,706.9093043804169
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7233306169509888,601.7177138328552
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.5939849615097046,724.7913751602173
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6606065630912781,598.2619435787201
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6583433151245117,743.1031646728516
wikimath,STGCN,0.3,rand,8,32,linear,50,0.6906746625900269,498.46308159828186
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6012550592422485,772.3534512519836
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7296093702316284,209.2478699684143
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6340816617012024,857.684469461441
wikimath,STGCN,0.3,rand,8,32,linear,50,0.7313622832298279,434.8813283443451
wikimath,IT-STGCN,0.3,rand,8,32,linear,50,0.6203914880752563,725.989631652832
