dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8343583941459656,182.1696538925171
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.603424072265625,589.6640763282776
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7630259394645691,489.9678647518158
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6396732330322266,608.8536176681519
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8503193259239197,189.586838722229
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6343867182731628,583.4074609279633
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7267308235168457,332.1385500431061
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6774537563323975,422.0121116638184
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7760031223297119,208.90870189666748
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6479587554931641,469.1417927742005
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8144148588180542,315.9108533859253
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6162280440330505,394.9129288196564
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8810968399047852,379.1548352241516
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.630497932434082,422.21339178085327
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8021801710128784,211.23747968673703
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.641730546951294,372.509651184082
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.6985233426094055,210.73586177825928
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6667168736457825,562.3452565670013
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7422359585762024,208.30316400527957
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6025491952896118,562.684595823288
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8594134449958801,416.3918385505676
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6130119562149048,609.1637482643127
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8092744946479797,460.4248821735382
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.597838282585144,740.1697065830231
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7759820222854614,204.82768154144287
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6045705080032349,558.93053150177
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7978522181510925,435.1560640335083
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6273006200790405,650.1145231723785
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7431570291519165,367.3599548339844
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6333206295967102,628.1398854255676
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8397474884986877,308.01644682884216
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6217532157897949,615.7991061210632
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8423459529876709,482.1711642742157
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6375304460525513,592.2786040306091
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.9217087030410768,173.59527897834778
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6333608031272888,609.7040731906891
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7380238771438599,713.4190993309021
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6057613492012024,922.8433334827424
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.9326782822608948,794.490950345993
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6171038746833801,1003.5379037857056
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7822285890579224,614.6008267402649
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6116656064987183,675.9417479038239
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8346922993659973,539.9552919864655
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6294914484024048,685.3139138221741
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7792726755142212,468.0712463855744
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6130602955818176,720.1440212726593
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,1.0006221532821655,344.5684394836426
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.5994386076927185,773.592405796051
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7870726585388184,342.9675662517548
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6265655755996704,749.1932253837585
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7700052857398987,465.4821555614472
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6089919805526733,766.663651227951
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7928594350814819,393.57199788093567
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6311692595481873,699.5659313201904
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.7791264057159424,458.4316248893738
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6110354661941528,696.1796643733978
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.8318006992340088,589.5933794975281
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6214165687561035,681.4133620262146
wikimath,STGCN,0.5119453924914675,block,8,32,linear,50,0.785800576210022,222.735625743866
wikimath,IT-STGCN,0.5119453924914675,block,8,32,linear,50,0.6196568608283997,803.7346692085266
