dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.0594239234924316,49.8236882686615
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.4645962715148926,45.47013521194458
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0258859395980835,91.24024534225464
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.2196367979049685,109.28063344955444
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.0643413066864014,71.18382787704468
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.3835142850875854,67.5028223991394
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0704134702682495,104.14242458343506
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.2005054950714111,82.92319536209106
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.0990431308746338,48.18886661529541
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.5237722396850586,45.33157920837402
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0581724643707275,62.88476610183716
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.147144079208374,88.18524956703186
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.05342698097229,70.32478213310242
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.5519236326217651,68.31508779525757
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0227659940719604,99.58087801933289
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.19135844707489,107.50235223770142
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.0724741220474243,61.871337890625
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.432008147239685,55.00660681724548
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.028722643852234,55.83105731010437
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.197264552116394,55.41036772727966
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.0446494817733765,44.09968614578247
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.448286771774292,69.95389604568481
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0589812994003296,112.67609786987305
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.19110906124115,105.06239986419678
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.0365427732467651,68.19864773750305
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.415510177612305,67.10353755950928
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0456634759902954,74.27980995178223
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.185294508934021,71.00229835510254
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.039623498916626,43.432915449142456
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.4554954767227173,56.319445848464966
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0337055921554563,88.35040283203125
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.1641300916671753,110.60484075546265
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.044794678688049,70.10242080688477
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.4046422243118286,69.60047006607056
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0172886848449707,103.3748550415039
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.1462215185165403,82.66775894165039
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.0538009405136108,51.07204580307007
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.5297480821609497,47.175841331481934
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.018513321876526,65.08087253570557
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.1657726764678955,97.5823106765747
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.050081729888916,70.07545924186707
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.4016941785812378,69.98089408874512
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.0886319875717163,105.94519233703612
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.1601147651672363,81.90275192260742
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.0747730731964111,46.63763761520386
chickenpox,STGCN,0.8,rand,4,12,linear,50,1.492085337638855,39.55299091339111
chickenpox,IT-STGCN,0.3,rand,4,12,linear,50,1.033808946609497,48.83686184883118
chickenpox,IT-STGCN,0.8,rand,4,12,linear,50,1.1885886192321775,112.43375945091248
chickenpox,STGCN,0.3,rand,4,12,linear,50,1.065546989440918,78.47605991363525
