dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.0,,4,12,,50,1.230646014213562,4.133744478225708
pedalme,STGCN,0.0,,4,12,,50,1.2154502868652344,4.795899152755737
pedalme,STGCN,0.3,rand,4,12,linear,50,1.283461332321167,4.863382816314697
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.4822496175765991,4.932971239089966
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2181707620620728,4.657226324081421
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.362473726272583,4.269789695739746
pedalme,IT-STGCN,0.0,,4,12,,50,1.381660223007202,5.438287258148193
pedalme,IT-STGCN,0.0,,4,12,,50,1.354893684387207,4.415018320083618
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3579787015914917,3.644104480743408
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3066784143447876,4.451559782028198
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.154651165008545,4.354169130325317
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.1819478273391724,4.312137603759766
pedalme,STGCN,0.0,,4,12,,50,1.2160053253173828,3.2439777851104736
pedalme,STGCN,0.0,,4,12,,50,1.241747498512268,3.2852776050567627
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2935726642608645,3.3000025749206543
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.251312494277954,3.456441164016724
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2867670059204102,3.305420160293579
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.4561374187469482,3.258253812789917
pedalme,IT-STGCN,0.0,,4,12,,50,1.448322057723999,3.8823766708374015
pedalme,IT-STGCN,0.0,,4,12,,50,1.3955318927764893,4.279825448989868
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.204781174659729,4.290858507156372
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.225091814994812,4.234611749649048
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2461367845535278,4.181512117385864
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.1963274478912354,4.257193326950073
pedalme,STGCN,0.0,,4,12,,50,1.2353931665420532,3.2834627628326416
pedalme,STGCN,0.0,,4,12,,50,1.414260983467102,3.26082706451416
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2017968893051147,3.2233545780181885
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.1751337051391602,3.2192137241363525
pedalme,STGCN,0.6,rand,4,12,linear,50,1.4051299095153809,3.219479322433472
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.3883309364318848,3.273214101791382
pedalme,IT-STGCN,0.0,,4,12,,50,1.3474875688552856,4.282425880432129
pedalme,IT-STGCN,0.0,,4,12,,50,1.277171969413757,3.755854368209839
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2824383974075315,3.2573390007019043
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2463310956954956,3.2183780670166016
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2665523290634155,4.268963098526001
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2156904935836792,4.234407186508179
pedalme,STGCN,0.0,,4,12,,50,1.2238616943359375,2.6599907875061035
pedalme,STGCN,0.0,,4,12,,50,1.3339964151382446,2.525630474090576
pedalme,STGCN,0.3,rand,4,12,linear,50,1.308242917060852,2.582494735717773
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2512702941894531,2.5992586612701416
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2040767669677734,3.2217702865600586
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2973825931549072,3.2313694953918457
pedalme,IT-STGCN,0.0,,4,12,,50,1.163224458694458,3.317413091659546
pedalme,IT-STGCN,0.0,,4,12,,50,1.2561876773834229,3.271045446395874
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2970967292785645,3.760529041290283
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3850212097167969,3.864650249481201
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3448967933654783,3.7743804454803462
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2964890003204346,4.27579665184021
pedalme,STGCN,0.0,,4,12,,50,1.322929620742798,3.245342254638672
pedalme,STGCN,0.0,,4,12,,50,1.355749487876892,2.4718711376190186
pedalme,STGCN,0.3,rand,4,12,linear,50,1.1943999528884888,3.6038315296173096
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.4466102123260498,3.5998497009277344
pedalme,STGCN,0.6,rand,4,12,linear,50,1.245090126991272,3.4893760681152344
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2870073318481443,2.90479063987732
pedalme,IT-STGCN,0.0,,4,12,,50,1.2948778867721558,3.196485996246338
pedalme,IT-STGCN,0.0,,4,12,,50,1.4262906312942505,3.619174003601074
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2714836597442627,4.168041706085205
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2498507499694824,4.92474627494812
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2864059209823608,5.848330736160278
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.220856547355652,6.502545356750488
pedalme,STGCN,0.0,,4,12,,50,1.212346076965332,4.342386722564697
pedalme,STGCN,0.0,,4,12,,50,1.2456917762756348,4.377090692520142
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2348902225494385,3.157643318176269
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.373840093612671,4.362420558929443
pedalme,STGCN,0.6,rand,4,12,linear,50,1.1984100341796875,4.719412565231323
