dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7010403275489807,1029.1812205314636
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7594382762908936,1385.141502380371
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7213937640190125,1268.4783735275269
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7905442714691162,1780.705491065979
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7686522603034973,1505.3440251350405
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7055878043174744,1771.365176677704
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7291646003723145,1426.9953665733335
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7926483750343323,1601.2126488685608
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7209967374801636,1483.317121744156
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7073229551315308,1591.841844081879
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7088156938552856,1494.1284494400024
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7191556692123413,1737.8572974205017
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7106348872184753,1480.0078916549685
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.8435967564582825,1617.8779883384705
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7085648775100708,1489.6322946548462
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6888387799263,1715.8942341804504
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7299119830131531,1565.2413489818573
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6948153972625732,1716.533030986786
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7031741142272949,1103.9246244430542
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7808387875556946,1270.6962492465973
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7313616275787354,1257.6355090141296
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7039391398429871,1419.651335954666
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7505009770393372,1190.653648853302
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7492525577545166,1414.9292414188385
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7161660194396973,1166.422120809555
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7157583832740784,1424.0009033679962
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7687056660652161,1327.840764284134
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.782920777797699,1288.8161127567291
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7368821501731873,1210.5813434123993
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7058852314949036,1150.6942133903503
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7808845639228821,772.3947906494141
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7240868210792542,1006.7179625034332
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7437868118286133,799.145457983017
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7486066222190857,970.1553406715392
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7612091898918152,973.3668007850648
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7658930420875549,1279.297732591629
wikimath,STGCN,0.3,rand,8,12,linear,50,0.8153769969940186,1166.8656828403473
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7429437041282654,1271.1610324382782
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7336845397949219,1046.896593093872
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7069099545478821,1288.4043292999268
wikimath,STGCN,0.3,rand,8,12,linear,50,0.734997570514679,858.3341312408447
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7348992824554443,1173.30601644516
wikimath,STGCN,0.3,rand,8,12,linear,50,0.718758225440979,986.2210834026336
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7573787569999695,1148.620522737503
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7059718370437622,910.1788523197174
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7011396288871765,1171.434671163559
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7469863295555115,1196.522909641266
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7172082662582397,1281.7087230682373
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7287247776985168,1170.2369804382324
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.738410472869873,1263.1674115657806
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7481727600097656,1110.4927322864532
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.695544958114624,1302.750097990036
wikimath,STGCN,0.3,rand,8,12,linear,50,0.732373833656311,962.9882972240448
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7372428178787231,1295.0991384983065
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7096233367919922,1059.2392854690552
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.6950039267539978,1307.6707773208618
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7614282369613647,1172.7479076385498
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.7396472096443176,1290.1111552715302
wikimath,STGCN,0.3,rand,8,12,linear,50,0.7065136432647705,1136.637546300888
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.8306865692138672,1272.3509237766266
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8792145848274231,954.5574786663057
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7741871476173401,1038.459551334381
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7987865805625916,885.5330419540405
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7975773811340332,1007.232935667038
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8220410346984863,709.7799868583679
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7641054391860962,1042.3845579624176
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8245541453361511,1114.5727472305298
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7548010349273682,1284.0750465393066
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8418261408805847,1100.0335512161255
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7448567748069763,1305.9749913215635
wikimath,STGCN,0.8,rand,8,12,linear,50,0.866796612739563,1001.5727343559264
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7876754999160767,1326.1698343753817
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8336721062660217,1002.885772705078
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7931960225105286,1181.2116105556488
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8736060857772827,987.184309244156
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7631412148475647,1164.6068229675293
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8633577227592468,908.1836245059968
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7934795022010803,1181.5763392448423
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8418773412704468,957.8562703132628
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7595316171646118,1330.6847841739657
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8172924518585205,1110.5941786766052
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7566943764686584,1296.6063249111176
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8366162776947021,916.239774942398
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7891591787338257,1277.5343134403229
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8485934734344482,1126.395310640335
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.787208616733551,1280.8509039878843
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8756759166717529,1117.9947774410248
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7916949391365051,1300.8786780834198
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7991241216659546,1050.7090570926666
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.7367730140686035,1290.2440559864044
wikimath,STGCN,0.8,rand,8,12,linear,50,0.8160496950149536,1011.4710907936096
wikimath,IT-STGCN,0.8,rand,8,12,linear,50,0.8263969421386719,1280.5886800289154
wikimath,STGCN,0.8,rand,8,12,linear,50,0.7841324210166931,1069.3254673480988
