dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.0,,4,16,,50,0.740704357624054,181.4590849876404
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7440887689590454,237.55276918411252
chickenpox,STGCN,0.0,,4,16,,50,0.7448251247406006,202.37319779396057
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7698333263397217,212.72338581085205
chickenpox,STGCN,0.0,,4,16,,50,0.763704776763916,180.7743821144104
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7575642466545105,238.80174469947812
chickenpox,STGCN,0.0,,4,16,,50,0.738698422908783,197.03937292099
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7493848204612732,231.49711513519287
chickenpox,STGCN,0.0,,4,16,,50,0.7436168193817139,207.4175865650177
chickenpox,IT-STGCN,0.0,,4,16,,50,0.749958872795105,254.76274180412287
chickenpox,STGCN,0.0,,4,16,,50,0.7452459931373596,207.54284048080444
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7595857977867126,233.3690423965454
chickenpox,STGCN,0.0,,4,16,,50,0.7406767010688782,197.37959146499637
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7483705878257751,233.9087619781494
chickenpox,STGCN,0.0,,4,16,,50,0.7558645009994507,185.6376919746399
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7623625993728638,211.02807569503784
chickenpox,STGCN,0.0,,4,16,,50,0.7686392664909363,196.7493455410004
chickenpox,IT-STGCN,0.0,,4,16,,50,0.717315673828125,240.62218809127808
chickenpox,STGCN,0.0,,4,16,,50,0.741655707359314,185.9244122505188
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7485277652740479,213.40820479393005
chickenpox,STGCN,0.0,,4,16,,50,0.7679000496864319,206.67165756225583
chickenpox,IT-STGCN,0.0,,4,16,,50,0.736629843711853,245.6591341495514
chickenpox,STGCN,0.0,,4,16,,50,0.744926393032074,189.26654171943665
chickenpox,IT-STGCN,0.0,,4,16,,50,0.7744883894920349,225.1519637107849
chickenpox,STGCN,0.0,,4,16,,50,0.7564767003059387,218.81273221969604
