dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7335447669029236,1213.088788509369
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5321161150932312,1412.1189002990725
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7224260568618774,1237.5448751449585
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5276885628700256,1478.68115067482
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.700486421585083,1242.9932985305786
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5316872596740723,1269.8205506801603
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7353355884552002,816.5585978031158
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5345169901847839,1053.021854877472
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7111977338790894,849.6499676704407
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5299336910247803,1300.2082993984222
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7182404398918152,1238.260052204132
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5316018462181091,1521.2573926448822
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7050021886825562,1105.2178106307983
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5311441421508789,1388.65540933609
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7280240058898926,1209.338386297226
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5326071977615356,1328.1354389190674
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7376086711883545,1254.299443244934
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5282236933708191,1511.9316000938416
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7344197034835815,1246.488677740097
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5346384644508362,1455.423612833023
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7198441624641418,1269.0776991844175
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5315787196159363,1113.7917957305908
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7364507913589478,991.0125715732574
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5323036909103394,1336.5892305374146
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7020159363746643,949.1954469680786
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5307732820510864,1343.1795144081116
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7141200304031372,1236.862151145935
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5322983264923096,1460.1491351127625
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.7084456086158752,1300.7099220752716
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5297655463218689,1366.4021928310394
