dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
chickenpox,STGCN,0.3,rand,2,4.0,cubic,5.0,1.0762110948562622,7.689361810684204
chickenpox,STGCN,0.9,rand,2,12.0,cubic,5.0,1.064125657081604,10.074912309646606
chickenpox,STGCN,0.9,rand,2,12.0,linear,5.0,1.0759111642837524,10.027872085571287
chickenpox,GNAR,0.2,rand,2,,linear,,1.1427080631256104,0.0243251323699951
chickenpox,IT-STGCN,0.3,rand,2,4.0,cubic,5.0,1.0179572105407717,8.400511026382446
chickenpox,IT-STGCN,0.3,rand,2,4.0,linear,5.0,1.0097748041152954,8.53141450881958
chickenpox,IT-STGCN,0.3,rand,2,12.0,cubic,5.0,1.0055208206176758,8.786096096038818
chickenpox,IT-STGCN,0.3,rand,2,12.0,linear,5.0,0.9969530701637268,8.8086576461792
chickenpox,GNAR,0.2,rand,2,,nearest,,1.1427080631256104,0.0255115032196044
chickenpox,GNAR,0.2,rand,2,,cubic,,1.1427080631256104,0.0421750545501709
chickenpox,IT-STGCN,0.9,rand,2,4.0,cubic,5.0,1.1322907209396362,16.80114221572876
chickenpox,IT-STGCN,0.9,rand,2,4.0,linear,5.0,1.0959832668304443,14.341790199279783
chickenpox,IT-STGCN,0.9,rand,2,12.0,cubic,5.0,1.4508413076400757,14.441283226013184
chickenpox,IT-STGCN,0.9,rand,2,12.0,linear,5.0,1.0709245204925537,15.714013576507568
chickenpox,GNAR,0.1,rand,2,,linear,,1.1427080631256104,0.0296392440795898
chickenpox,STGCN,0.9,rand,2,4.0,linear,5.0,1.0770689249038696,9.860963821411133
chickenpox,GNAR,0.1,rand,2,,nearest,,1.1427080631256104,0.0266060829162597
chickenpox,STGCN,0.3,rand,2,4.0,cubic,5.0,1.0533208847045898,9.85478949546814
chickenpox,STGCN,0.3,rand,2,4.0,linear,5.0,1.0365687608718872,9.439587831497192
chickenpox,STGCN,0.3,rand,2,12.0,cubic,5.0,1.051011562347412,8.050862312316895
chickenpox,STGCN,0.3,rand,2,12.0,linear,5.0,1.0310271978378296,8.079447031021118
chickenpox,GNAR,0.0,,2,,,,1.1427080631256104,0.0339877605438232
chickenpox,STGCN,0.9,rand,2,4.0,cubic,5.0,1.1765129566192627,7.7222020626068115
chickenpox,STGCN,0.9,rand,2,4.0,linear,5.0,1.0997445583343506,7.721144676208496
chickenpox,STGCN,0.9,rand,2,12.0,cubic,5.0,1.2753212451934814,8.063818216323853
chickenpox,STGCN,0.9,rand,2,12.0,linear,5.0,1.0841872692108154,11.98767066001892
chickenpox,GNAR,0.0,,2,,,,1.1427080631256104,0.0293381214141845
chickenpox,GNAR,0.0,,2,,,,1.1427080631256104,0.0398910045623779
chickenpox,IT-STGCN,0.3,rand,2,4.0,cubic,5.0,1.0125287771224976,10.976791143417358
chickenpox,IT-STGCN,0.3,rand,2,4.0,linear,5.0,1.0160309076309204,10.966281652450562
chickenpox,IT-STGCN,0.3,rand,2,12.0,cubic,5.0,1.0027021169662476,11.201863288879396
chickenpox,GNAR,0.1,rand,2,,cubic,,1.1427080631256104,0.0389833450317382
chickenpox,IT-STGCN,0.3,rand,2,12.0,linear,5.0,1.0100938081741333,11.1598699092865
chickenpox,STGCN,0.9,rand,2,4.0,cubic,5.0,1.204008936882019,9.841498613357544
chickenpox,GNAR,0.3,rand,2,,nearest,,1.1427080631256104,0.0283799171447753
chickenpox,GNAR,0.2,rand,2,,linear,,1.1427080631256104,0.0281877517700195
chickenpox,STGCN,0.3,rand,2,4.0,cubic,5.0,1.041496515274048,7.774476528167725
chickenpox,STGCN,0.3,rand,2,4.0,linear,5.0,1.0327308177947998,7.815621137619018
chickenpox,STGCN,0.3,rand,2,12.0,cubic,5.0,1.059980034828186,8.643260478973389
chickenpox,STGCN,0.3,rand,2,12.0,linear,5.0,1.0398564338684082,8.126795768737793
chickenpox,GNAR,0.2,rand,2,,nearest,,1.1427080631256104,0.0283706188201904
chickenpox,GNAR,0.2,rand,2,,cubic,,1.1427080631256104,0.0421733856201171
chickenpox,STGCN,0.9,rand,2,4.0,cubic,5.0,1.400648593902588,7.746812343597412
chickenpox,STGCN,0.9,rand,2,4.0,linear,5.0,1.077786922454834,7.722853422164917
chickenpox,STGCN,0.9,rand,2,12.0,cubic,5.0,1.1057480573654177,8.075026750564575
chickenpox,STGCN,0.9,rand,2,12.0,linear,5.0,1.07767653465271,8.05772614479065
chickenpox,GNAR,0.1,rand,2,,linear,,1.1427080631256104,0.0262751579284667
chickenpox,GNAR,0.1,rand,2,,nearest,,1.1427080631256104,0.0258834362030029
chickenpox,GNAR,0.1,rand,2,,cubic,,1.1427080631256104,0.0420758724212646
chickenpox,GNAR,0.3,rand,2,,cubic,,1.1427080631256104,0.0410897731781005
chickenpox,IT-STGCN,0.3,rand,2,4.0,cubic,5.0,1.0093538761138916,10.965653896331789
chickenpox,IT-STGCN,0.3,rand,2,12.0,cubic,5.0,1.0001120567321775,11.19745111465454
chickenpox,IT-STGCN,0.3,rand,2,12.0,linear,5.0,1.0058276653289795,11.220316410064695
chickenpox,GNAR,0.0,,2,,,,1.1427080631256104,0.0287666320800781
chickenpox,IT-STGCN,0.9,rand,2,4.0,cubic,5.0,1.2363344430923462,8.35043740272522
chickenpox,IT-STGCN,0.9,rand,2,4.0,linear,5.0,1.0692195892333984,8.32806921005249
