dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
five_nodes,STGCN,0.15,block,2,4,nearest,150,1.2213771343231201,110.46002149581909
five_nodes,STGCN,0.15,block,2,4,linear,150,1.2083885669708252,111.29421186447144
five_nodes,STGCN,0.15,block,2,8,nearest,150,1.166486382484436,114.26451683044434
five_nodes,STGCN,0.15,block,2,8,linear,150,1.2088512182235718,113.15681290626526
five_nodes,STGCN,0.15,block,2,12,nearest,150,1.1887339353561401,113.89629578590393
five_nodes,STGCN,0.15,block,2,12,linear,150,1.3132559061050415,115.59298992156982
five_nodes,STGCN,0.15,block,4,4,nearest,150,1.209020733833313,113.72193455696106
five_nodes,STGCN,0.15,block,4,4,linear,150,1.2267394065856934,110.62121796607971
five_nodes,STGCN,0.15,block,4,8,nearest,150,1.212336540222168,115.97264862060547
five_nodes,STGCN,0.15,block,4,8,linear,150,1.2860203981399536,112.55217027664185
five_nodes,STGCN,0.15,block,4,12,nearest,150,1.131675124168396,114.04631423950195
five_nodes,STGCN,0.15,block,4,12,linear,150,1.1716409921646118,113.56383323669434
five_nodes,STGCN,0.14906832298136646,block,6,4,nearest,150,1.2678587436676025,108.42306685447693
five_nodes,STGCN,0.14906832298136646,block,6,4,linear,150,1.217171311378479,110.54852294921875
five_nodes,STGCN,0.14906832298136646,block,6,8,nearest,150,1.2244459390640259,111.81804633140564
five_nodes,STGCN,0.14906832298136646,block,6,8,linear,150,1.210396647453308,111.10649061203003
five_nodes,STGCN,0.14906832298136646,block,6,12,nearest,150,1.2460715770721436,118.09271359443665
five_nodes,STGCN,0.14906832298136646,block,6,12,linear,150,1.3659963607788086,119.16562557220459
five_nodes,IT-STGCN,0.15,block,2,4,nearest,150,1.2010174989700317,117.08103275299072
five_nodes,IT-STGCN,0.15,block,2,4,linear,150,1.2074846029281616,117.37428164482117
five_nodes,IT-STGCN,0.15,block,2,8,nearest,150,1.295454740524292,122.6670572757721
five_nodes,IT-STGCN,0.15,block,2,8,linear,150,1.1986818313598633,122.03033828735352
five_nodes,IT-STGCN,0.15,block,2,12,nearest,150,1.226420283317566,123.5091986656189
five_nodes,IT-STGCN,0.15,block,2,12,linear,150,1.3169622421264648,137.528728723526
five_nodes,IT-STGCN,0.15,block,4,4,nearest,150,1.2518407106399536,116.30168271064758
five_nodes,IT-STGCN,0.15,block,4,4,linear,150,1.185132384300232,119.3149185180664
five_nodes,IT-STGCN,0.15,block,4,8,nearest,150,1.1325461864471436,118.24082159996033
five_nodes,IT-STGCN,0.15,block,4,8,linear,150,1.1739064455032349,121.06904697418213
five_nodes,IT-STGCN,0.15,block,4,12,nearest,150,1.2569801807403564,147.26774144172668
five_nodes,IT-STGCN,0.15,block,4,12,linear,150,1.2686253786087036,149.18999218940735
five_nodes,IT-STGCN,0.14906832298136646,block,6,4,nearest,150,1.1318484544754028,117.51364493370056
five_nodes,IT-STGCN,0.14906832298136646,block,6,4,linear,150,1.1276185512542725,114.73876070976257
five_nodes,IT-STGCN,0.14906832298136646,block,6,8,nearest,150,1.19612717628479,121.2743570804596
five_nodes,IT-STGCN,0.14906832298136646,block,6,8,linear,150,1.2175053358078003,121.49169087409973
five_nodes,IT-STGCN,0.14906832298136646,block,6,12,nearest,150,1.3042025566101074,119.03888440132141
five_nodes,IT-STGCN,0.14906832298136646,block,6,12,linear,150,1.316453218460083,121.81699967384338
five_nodes,STGCN,0.15,block,2,4,nearest,150,1.220936894416809,115.85839700698853
