dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
five_nodes,STGCN,0.2,rand,4,8,nearest,200,1.2522493600845337,164.85897541046145
five_nodes,STGCN,0.2,rand,4,8,linear,200,1.1793498992919922,166.60852909088135
five_nodes,STGCN,0.2,rand,4,12,nearest,200,1.2291078567504885,155.1519033908844
five_nodes,STGCN,0.2,rand,4,12,linear,200,1.1735907793045044,154.061283826828
five_nodes,STGCN,0.2,rand,6,8,nearest,200,1.1113476753234863,149.7972161769867
five_nodes,STGCN,0.2,rand,6,8,linear,200,1.317276120185852,153.02912950515747
five_nodes,STGCN,0.2,rand,6,12,nearest,200,1.198258876800537,155.60064268112183
five_nodes,STGCN,0.2,rand,6,12,linear,200,1.116976022720337,154.53162693977356
five_nodes,STGCN,0.4,rand,4,8,nearest,200,1.2440131902694702,149.35193848609924
five_nodes,STGCN,0.4,rand,4,8,linear,200,1.2224162817001345,149.66855216026306
five_nodes,STGCN,0.4,rand,4,12,nearest,200,1.2476156949996948,152.10804152488708
five_nodes,STGCN,0.4,rand,4,12,linear,200,1.2629379034042358,151.91253757476807
five_nodes,STGCN,0.4,rand,6,8,nearest,200,1.0991724729537964,150.06989550590515
five_nodes,STGCN,0.4,rand,6,8,linear,200,1.1676502227783203,155.68031239509585
five_nodes,STGCN,0.4,rand,6,12,nearest,200,1.2750920057296753,151.6326503753662
five_nodes,STGCN,0.4,rand,6,12,linear,200,1.255909085273743,151.54753589630127
five_nodes,IT-STGCN,0.2,rand,4,8,nearest,200,1.1967098712921145,159.75291657447815
five_nodes,IT-STGCN,0.2,rand,4,8,linear,200,1.229659914970398,160.56543159484863
five_nodes,IT-STGCN,0.2,rand,4,12,nearest,200,1.2624813318252563,160.40146040916443
five_nodes,IT-STGCN,0.2,rand,4,12,linear,200,1.349734663963318,159.99756026268005
five_nodes,IT-STGCN,0.2,rand,6,8,nearest,200,1.17617928981781,158.62921237945557
five_nodes,IT-STGCN,0.2,rand,6,8,linear,200,1.221132755279541,159.13484144210815
five_nodes,IT-STGCN,0.2,rand,6,12,nearest,200,1.329095482826233,161.53967785835266
five_nodes,IT-STGCN,0.2,rand,6,12,linear,200,1.334593415260315,162.86621952056885
five_nodes,IT-STGCN,0.4,rand,4,8,nearest,200,1.2034341096878052,161.42802238464355
five_nodes,IT-STGCN,0.4,rand,4,8,linear,200,1.2535462379455566,162.31858277320862
five_nodes,IT-STGCN,0.4,rand,4,12,nearest,200,1.1050187349319458,168.42282009124756
five_nodes,IT-STGCN,0.4,rand,4,12,linear,200,1.381449580192566,163.89361310005188
five_nodes,IT-STGCN,0.4,rand,6,8,nearest,200,1.255504488945007,159.3214395046234
